INCHIKEY,pH_aq,IE,IE_hat_fp,class_fp
ICSNLGPSRYBMBD-UHFFFAOYSA-N,10.699999999999998,2.276666666666667,2.182241793118358,train
ICSNLGPSRYBMBD-UHFFFAOYSA-N,1.94,2.6,2.4460834878537154,train
ICSNLGPSRYBMBD-UHFFFAOYSA-N,6.8566666666666665,2.021666666666667,2.098124582071398,train
ICSNLGPSRYBMBD-UHFFFAOYSA-N,5.846666666666667,1.7466666666666668,2.0729325183738054,train
ICSNLGPSRYBMBD-UHFFFAOYSA-N,7.8,2.1,2.1702715458510973,train
AKCRQHGQIJBRMN-UHFFFAOYSA-N,2.7,2.99,2.539630302489177,train
AKCRQHGQIJBRMN-UHFFFAOYSA-N,1.9,2.77,2.8046978623353476,train
AKCRQHGQIJBRMN-UHFFFAOYSA-N,7.0,0.1,0.9089789558489332,train
OKDGRDCXVWSXDC-UHFFFAOYSA-N,2.7,0.97,1.9175483884714408,test
UVRZAMUOUDELST-UHFFFAOYSA-N,2.72,5.148544870799999,5.220838682023455,train
UVRZAMUOUDELST-UHFFFAOYSA-N,10.7,4.66,4.748067888003592,train
UVRZAMUOUDELST-UHFFFAOYSA-N,6.785,4.8375,4.743316807880866,train
UVRZAMUOUDELST-UHFFFAOYSA-N,5.52,4.73,4.7779215348723465,train
UVRZAMUOUDELST-UHFFFAOYSA-N,7.8,4.91,4.776166238797885,train
UVRZAMUOUDELST-UHFFFAOYSA-N,2.0,4.73,4.73748403774906,train
CHZCERSEMVWNHL-UHFFFAOYSA-N,2.95,1.495,1.2785541784326262,train
CHZCERSEMVWNHL-UHFFFAOYSA-N,2.0,1.55,1.4117786858256816,train
CHZCERSEMVWNHL-UHFFFAOYSA-N,5.8,0.6,0.8641962369212985,train
PKZJLOCLABXVMC-UHFFFAOYSA-N,2.7,1.18,1.1993054320283183,train
IWTFOFMTUOBLHG-UHFFFAOYSA-N,2.7,1.85,2.190830885376246,train
IWTFOFMTUOBLHG-UHFFFAOYSA-N,10.7,0.79,0.8943969153374347,train
IWTFOFMTUOBLHG-UHFFFAOYSA-N,1.9,2.42,2.2773657043581745,train
IWTFOFMTUOBLHG-UHFFFAOYSA-N,7.0,0.92,1.1359263652822256,train
