leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,800,2,0.6,2,0.9277,0.0894,0.1483
4,700,2,0.06,3,0.9188,0.6071,0.1791
8,800,3,0.06,2,0.8679,0.1691,0.1901
10,60,3,0.4,1,0.8138,0.441,0.2332
8,20,3,0.8,2,0.8144,-0.1218,0.1901
8,600,3,0.06,1,0.8435,0.4715,0.2332
6,800,3,0.04,3,0.8567,0.5548,0.2084
10,600,3,0.1,1,0.8604,0.4781,0.2332
4,200,3,0.02,1,0.6868,0.4342,0.2332
10,400,3,0.14,1,0.859,0.4368,0.2332
6,1200,3,0.4,2,0.8963,0.0983,0.1901
4,100,3,0.12,1,0.7659,0.4634,0.2332
4,1400,3,0.1,2,0.886,0.1414,0.1901
6,700,3,0.1,2,0.877,0.1467,0.1901
6,1400,3,0.6,2,0.8992,0.0176,0.1901
4,1200,3,0.4,2,0.8965,0.1229,0.1901
8,300,3,0.08,1,0.8217,0.4531,0.2332
10,100,3,0.04,2,0.7422,0.1926,0.1901
6,500,3,0.02,3,0.7835,0.5579,0.2084
6,700,3,0.6,3,0.9061,0.4335,0.2084
10,20,3,0.14,3,0.6845,0.4947,0.2084
6,300,3,0.4,2,0.8849,0.141,0.1901
10,400,3,0.06,2,0.8409,0.1342,0.1901
10,700,3,0.08,1,0.8591,0.4738,0.2332
4,700,3,0.14,3,0.8912,0.5319,0.2084
4,100,3,0.04,1,0.6904,0.4357,0.2332
10,20,3,0.06,3,0.5352,0.4109,0.2084
6,500,3,0.6,3,0.9042,0.4439,0.2084
6,20,3,0.6,2,0.797,0.0501,0.1901
8,800,3,0.2,2,0.8857,0.1039,0.1901
4,600,3,0.02,2,0.8059,0.175,0.1901
6,800,3,0.02,1,0.7932,0.4679,0.2332
8,700,3,0.6,2,0.8954,0.0549,0.1901
4,300,3,0.2,1,0.8625,0.4686,0.2332
6,300,3,0.14,2,0.8638,0.1044,0.1901
10,200,3,0.04,2,0.7871,0.1744,0.1901
6,800,3,0.2,2,0.8873,0.1512,0.1901
6,200,3,0.2,2,0.8624,0.1655,0.1901
6,500,3,0.8,1,0.8935,0.3538,0.2332
6,500,3,0.8,1,0.8935,0.3538,0.2332
4,100,3,0.6,3,0.8861,0.4678,0.2084
6,400,3,0.08,3,0.8582,0.551,0.2084
4,200,3,0.12,2,0.843,0.177,0.1901
10,20,3,0.06,1,0.5233,0.3133,0.2332
4,100,3,0.2,2,0.8345,0.1009,0.1901
4,20,3,0.4,2,0.7697,0.0923,0.1901
8,700,3,0.08,3,0.878,0.5475,0.2084
10,700,3,0.8,2,0.8981,-0.0321,0.1901
10,500,3,0.14,2,0.8748,0.124,0.1901
4,800,3,0.4,1,0.891,0.4835,0.2332
10,500,3,0.8,2,0.8963,-0.0197,0.1901
10,800,3,0.4,2,0.8933,0.061,0.1901
