leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,1400,2,0.02,3,0.8783,0.43,0.2387
6,200,2,0.6,1,0.8476,0.1097,0.1744
10,600,2,0.04,3,0.877,0.4268,0.2387
4,900,2,0.08,3,0.8841,0.3871,0.2387
10,300,2,0.2,2,0.8647,0.4642,0.1832
8,1000,3,0.6,2,0.7697,0.1877,0.1832
8,1200,3,0.2,1,0.735,0.1882,0.1744
10,900,3,0.08,3,0.761,0.3165,0.2387
10,600,3,0.4,3,0.7669,0.3668,0.2387
8,300,3,0.04,2,0.731,0.5114,0.1832
10,500,3,0.4,1,0.7344,0.0895,0.1744
4,1400,3,0.4,1,0.7363,0.1995,0.1744
4,600,3,0.6,1,0.7359,0.1399,0.1744
8,600,3,0.04,3,0.75,0.286,0.2387
10,1400,3,0.14,3,0.766,0.2597,0.2387
4,900,3,0.14,1,0.7338,0.1664,0.1744
8,1000,3,0.14,3,0.7647,0.2974,0.2387
6,20,3,0.14,2,0.6043,0.3823,0.1832
8,1000,3,0.2,1,0.7346,0.1936,0.1744
4,100,3,0.2,2,0.7491,0.5088,0.1832
4,400,3,0.12,3,0.7591,0.2633,0.2387
10,800,3,0.12,3,0.7627,0.2942,0.2387
8,60,3,0.04,1,0.5733,0.1077,0.1744
4,900,3,0.4,2,0.7692,0.2283,0.1832
4,500,3,0.08,1,0.7282,0.254,0.1744
4,700,3,0.12,2,0.7642,0.407,0.1832
8,100,3,0.08,1,0.6843,0.2279,0.1744
10,300,3,0.8,1,0.7347,0.2487,0.1744
6,60,3,0.06,2,0.6421,0.4733,0.1832
8,1400,3,0.12,1,0.7341,0.1745,0.1744
6,700,3,0.4,2,0.7686,0.2537,0.1832
10,1200,3,0.08,2,0.7636,0.3837,0.1832
6,1400,3,0.1,3,0.7652,0.2383,0.2387
8,300,3,0.8,2,0.7682,0.2582,0.1832
10,600,3,0.06,1,0.725,0.2321,0.1744
10,400,3,0.8,2,0.7688,0.1959,0.1832
6,500,3,0.6,3,0.7679,0.2773,0.2387
4,1000,3,0.08,1,0.7321,0.2379,0.1744
8,700,3,0.14,2,0.7635,0.4061,0.1832
