leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,800,4,0.8,2,0.9304,0.3811,0.2258
6,1000,4,0.06,3,0.9103,0.4205,0.2114
6,1000,4,0.1,3,0.9182,0.421,0.2114
4,300,4,0.08,1,0.8732,0.5543,0.186
10,100,4,0.02,1,0.6744,0.4466,0.186
10,100,4,0.08,2,0.8061,0.3223,0.2258
6,1400,4,0.08,2,0.9183,0.5183,0.2258
10,700,4,0.04,3,0.8857,0.4788,0.2114
6,600,4,0.1,3,0.9096,0.4354,0.2114
6,800,4,0.14,2,0.9189,0.4859,0.2258
6,300,4,0.04,2,0.8328,0.365,0.2258
8,900,4,0.02,1,0.8591,0.4987,0.186
10,1000,4,0.08,1,0.9087,0.5247,0.186
10,60,4,0.6,1,0.8931,0.3434,0.186
10,600,4,0.14,3,0.9135,0.3991,0.2114
8,1200,4,0.4,1,0.925,0.3681,0.186
10,600,4,0.06,1,0.8892,0.528,0.186
10,700,4,0.1,1,0.907,0.506,0.186
6,900,4,0.06,3,0.9077,0.4218,0.2114
4,100,4,0.08,1,0.8029,0.4899,0.186
10,200,4,0.14,2,0.8816,0.4046,0.2258
10,1400,4,0.4,1,0.9252,0.4681,0.186
8,60,4,0.12,2,0.7963,0.294,0.2258
10,800,4,0.4,3,0.9265,0.3154,0.2114
4,700,4,0.08,3,0.9091,0.4471,0.2114
8,20,4,0.04,3,0.4775,0.22,0.2114
4,1400,4,0.2,3,0.9273,0.4754,0.2114
4,400,4,0.14,3,0.9094,0.4245,0.2114
8,300,4,0.1,3,0.8884,0.4467,0.2114
10,1200,4,0.14,2,0.921,0.5131,0.2258
8,400,4,0.6,1,0.9213,0.4652,0.186
10,200,4,0.4,3,0.9163,0.3232,0.2114
8,200,4,0.12,3,0.8797,0.4452,0.2114
10,1200,4,0.02,3,0.8767,0.4578,0.2114
4,20,4,0.1,1,0.6771,0.4139,0.186
4,500,4,0.04,1,0.8643,0.5144,0.186
4,700,4,0.14,1,0.9131,0.4943,0.186
