leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
6,400,2,0.06,2,0.8607,0.5019,0.1832
4,400,2,0.12,2,0.8652,0.5103,0.1832
6,600,2,0.4,3,0.8859,0.3253,0.2387
8,1400,2,0.12,1,0.8481,0.122,0.1744
6,200,2,0.04,1,0.8005,0.1397,0.1744
4,20,2,0.1,2,0.6838,0.3671,0.1832
4,600,2,0.8,3,0.8865,0.2109,0.2387
4,20,2,0.04,3,0.4758,0.2682,0.2387
6,300,2,0.6,1,0.8483,0.106,0.1744
8,1200,2,0.6,1,0.8493,-0.1919,0.1744
8,600,2,0.06,1,0.8424,0.1426,0.1744
8,500,2,0.8,1,0.849,0.1701,0.1744
4,700,2,0.6,2,0.8687,0.4119,0.1832
10,200,2,0.6,1,0.847,-0.3398,0.1744
10,400,2,0.06,1,0.8383,0.1998,0.1744
6,400,2,0.14,3,0.8825,0.4276,0.2387
8,20,2,0.2,3,0.785,0.4413,0.2387
4,900,2,0.02,2,0.8578,0.5357,0.1832
6,20,2,0.06,3,0.5851,0.3133,0.2387
10,500,2,0.4,2,0.8677,0.5008,0.1832
8,200,2,0.6,1,0.8475,-0.1816,0.1744
10,100,2,0.06,2,0.8018,0.5051,0.1832
6,400,2,0.6,1,0.8486,0.1058,0.1744
10,60,2,0.6,1,0.8423,-0.2607,0.1744
6,800,2,0.12,3,0.8847,0.4078,0.2387
4,20,2,0.2,1,0.7375,0.1435,0.1744
6,400,2,0.6,1,0.8486,0.1058,0.1744
4,100,2,0.14,3,0.8688,0.3937,0.2387
4,1000,2,0.4,1,0.8492,0.0838,0.1744
4,700,2,0.8,3,0.8865,0.2122,0.2387
4,100,2,0.12,2,0.8496,0.5113,0.1832
8,600,2,0.06,3,0.8808,0.4388,0.2387
4,600,2,0.12,3,0.8844,0.4419,0.2387
10,60,2,0.04,3,0.7252,0.3744,0.2387
4,500,2,0.08,2,0.8647,0.4906,0.1832
6,1000,2,0.1,3,0.8848,0.4577,0.2387
8,60,2,0.6,2,0.8626,0.3391,0.1832
8,600,2,0.14,1,0.8465,0.009,0.1744
8,600,2,0.14,1,0.8465,0.009,0.1744
10,400,2,0.8,1,0.8485,-0.1121,0.1744
8,1000,2,0.04,1,0.8433,0.0535,0.1744
4,1400,2,0.8,1,0.8494,0.1496,0.1744
4,300,3,0.14,1,0.728,0.199,0.1744
10,60,3,0.8,2,0.7608,0.3382,0.1832
6,800,3,0.04,3,0.7541,0.2924,0.2387
4,200,3,0.02,2,0.6539,0.481,0.1832
8,60,3,0.2,2,0.7319,0.4872,0.1832
4,600,3,0.04,2,0.7527,0.5079,0.1832
6,1200,3,0.4,3,0.7685,0.3178,0.2387
10,300,3,0.14,3,0.7561,0.2836,0.2387
8,20,3,0.6,3,0.7293,0.3276,0.2387
6,300,3,0.08,3,0.7497,0.3123,0.2387
4,500,3,0.14,3,0.7618,0.2877,0.2387
6,60,3,0.08,2,0.6743,0.4815,0.1832
4,200,3,0.6,3,0.7658,0.263,0.2387
4,500,3,0.4,1,0.7349,0.2168,0.1744
6,100,3,0.2,3,0.7455,0.3793,0.2387
4,1200,3,0.14,1,0.7345,0.1586,0.1744
4,100,3,0.02,3,0.5668,0.3486,0.2387
6,100,3,0.4,2,0.7579,0.4,0.1832
10,800,3,0.2,3,0.7654,0.1967,0.2387
8,900,3,0.8,2,0.7697,0.1714,0.1832
6,300,3,0.1,3,0.7536,0.2532,0.2387
10,900,3,0.6,2,0.7694,0.1547,0.1832
6,300,3,0.12,1,0.7268,0.232,0.1744
