min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
3,0.25,replacement,3,1000,0.01,13,7,0.12,0.16,0.5816519919351241,0.3376789855134019
0,0.0,replacement,4,1000,0.03,4,9,0.72,0.64,0.8507200962047005,0.20293691509251688
0,0.2,removal,2,1000,0.005,25,6,0.15,0.88,0.5494097599561873,0.3554086322819665
1,0.25,replacement,2,800,0.05,13,10,0.11,0.42,0.8347958426797402,0.12932318943114196
3,0.0,removal,5,1000,0.005,7,10,0.68,0.55,0.6462914392525462,0.32481410488242024
1,0.2,replacement,3,800,0.05,13,8,0.73,0.79,0.9444738901405844,0.23668719935781335
1,0.25,replacement,1,600,0.03,4,8,0.59,0.66,0.8379106124716073,0.2859258177944419
1,0.25,removal,3,600,0.005,7,10,0.11,0.63,0.54766715114403,0.31181520136280494
1,0.0,removal,4,600,0.05,7,10,0.44,0.37,0.8599263281170029,0.2469590725927835
5,0.25,removal,3,800,0.03,7,6,0.98,0.74,0.8734118753499794,0.05195671573179461
1,0.0,removal,2,1000,0.05,13,10,0.51,0.62,0.9263459951076626,0.036272809070097
3,0.25,replacement,4,800,0.01,25,10,0.3,0.58,0.7225564255763279,0.31828107407483297
3,0.2,removal,2,1000,0.005,25,9,0.34,0.14,0.594859176991591,0.2840844488027272
3,0.25,replacement,3,600,0.01,7,9,0.88,0.16,0.5935662155252841,0.3354782553683534
3,0.0,removal,4,1000,0.01,25,6,0.78,0.64,0.6845774582468733,0.3870988628633616
3,0.0,replacement,4,1000,0.03,25,7,0.26,0.75,0.8680218829216106,0.39871465559315467
3,0.2,removal,2,600,0.01,4,7,0.6,0.61,0.6657005597716902,0.27966328484164515
5,0.2,replacement,2,800,0.005,7,10,0.94,0.36,0.6119336146619558,0.2327252355376661
0,0.2,replacement,2,1000,0.05,4,7,0.35,0.68,0.92352895566269,0.2892092633152862
5,0.25,replacement,2,600,0.05,13,9,0.79,0.68,0.9540715962854146,0.2226039680988573
1,0.25,removal,3,600,0.01,13,10,0.49,0.98,0.671708600758468,0.28930890866002046
5,0.2,replacement,5,1000,0.01,7,9,0.24,0.17,0.7186283657616506,0.30355511899149457
0,0.25,removal,1,800,0.03,13,8,0.91,0.96,0.8350303380434753,0.24397478175137166
5,0.0,removal,4,800,0.05,7,10,0.5,1.0,0.9431689638202653,-0.12262770010689938
3,0.0,removal,2,600,0.05,25,6,0.83,0.1,0.7758075920788841,0.2473379990483161
1,0.2,replacement,3,800,0.03,25,6,0.19,0.15,0.658096515962146,0.2950949178318103
1,0.0,replacement,3,800,0.03,7,9,0.19,0.24,0.7686352818539113,0.2713283346547537
3,0.2,removal,5,800,0.05,13,7,0.16,0.05,0.7551029570511554,0.25295942476045297
5,0.2,removal,1,800,0.005,13,9,0.87,0.62,0.656818977233517,0.3412551888611437
1,0.25,removal,5,800,0.05,13,9,0.71,0.37,0.8985985389302291,0.01563750110788542
1,0.2,replacement,2,1000,0.05,25,9,0.63,0.7,0.9626276656436603,0.08846114443729425
1,0.2,removal,5,600,0.01,7,9,0.43,0.43,0.6489794177847867,0.13298995399088043
1,0.0,removal,2,600,0.005,13,6,0.76,1.0,0.5465309253129165,0.17278228057994738
0,0.0,replacement,5,1000,0.01,4,9,0.43,0.46,0.6666322774111654,0.2675763735111023
0,0.25,removal,4,800,0.005,13,8,0.28,0.83,0.5657104269010094,0.25746976719360115
5,0.2,removal,3,600,0.05,25,9,0.26,0.45,0.9006373702967789,0.11117862600485684
3,0.2,removal,2,600,0.01,13,9,0.18,0.13,0.6051486576119274,0.27868379825221756
3,0.0,replacement,1,1000,0.005,7,7,0.1,0.47,0.610067071896641,0.25466120140404647
1,0.2,replacement,2,600,0.03,4,6,0.68,0.5,0.814925754197512,0.14431439140729696
0,0.25,removal,2,600,0.01,13,10,0.33,0.74,0.6349601241844376,0.3557382243982772
1,0.25,replacement,4,1000,0.01,10,8,1.0,0.43,0.7199628939944747,0.20603231404526778
3,0.25,replacement,2,800,0.03,25,9,0.78,0.39,0.9179627694070329,0.18840198631895677
0,0.25,replacement,3,1000,0.005,10,8,0.36,0.8,0.5865238692689376,0.2475052502305174
1,0.2,removal,4,800,0.05,25,8,0.74,0.87,0.9123318841973533,0.2374706739018676
1,0.2,replacement,5,600,0.03,13,10,0.2,0.83,0.8130715853046842,0.12650150478743016
1,0.0,removal,1,600,0.01,4,6,0.13,0.94,0.5761385465739493,0.30320664705862543
3,0.2,removal,2,600,0.01,10,6,0.57,0.68,0.6472220631685849,0.27834195702234055
3,0.0,replacement,5,600,0.03,7,9,0.42,0.45,0.8129503299183031,0.2836344199338141
0,0.2,replacement,2,1000,0.05,10,9,0.33,0.3,0.9167999391040573,0.316866598550533
5,0.2,removal,3,600,0.03,25,7,0.69,0.96,0.8532606037665159,0.11475917785602674
5,0.0,replacement,1,600,0.01,25,8,0.63,0.95,0.6997776993635723,0.3475901823404023
0,0.0,replacement,2,800,0.01,13,7,0.49,0.58,0.6182688987646593,0.36701716042973076
3,0.2,replacement,1,1000,0.03,4,10,0.41,0.81,0.938815312675488,0.11908718700166987
5,0.2,removal,4,1000,0.05,13,6,0.19,0.83,0.9202275092775729,-0.17339676189278785
5,0.2,replacement,5,600,0.01,7,8,0.52,0.67,0.6939065615423585,0.27951208338901923
5,0.2,replacement,5,600,0.01,13,6,0.33,0.33,0.6104387032712517,0.26394274332024825
0,0.2,replacement,1,600,0.01,7,8,0.88,0.64,0.6250822388423998,0.26854720107970753
1,0.2,removal,5,600,0.01,7,8,0.34,0.25,0.6115073451676556,0.1222959010041842
5,0.2,removal,4,600,0.05,13,9,0.51,0.88,0.9234188827378702,-0.1490741550185608
5,0.0,replacement,3,600,0.005,4,6,0.83,0.99,0.5797355759862736,0.14235041888051392
0,0.25,replacement,3,600,0.03,10,9,0.72,0.22,0.8110321869366761,0.27003372463503594
1,0.0,replacement,4,1000,0.005,10,8,0.89,0.18,0.55712364208648,0.260150068133545
1,0.0,replacement,2,600,0.01,4,6,0.6,0.99,0.623852874514918,0.1689213910863252
5,0.2,replacement,5,600,0.05,4,6,0.58,0.65,0.9256695249416615,0.2863510127417229
5,0.0,removal,5,600,0.01,25,6,0.13,0.54,0.6174216851009047,0.28551409504759606
3,0.25,removal,1,600,0.03,10,9,0.95,0.33,0.8368486950598764,0.20364504460374588
5,0.25,replacement,2,800,0.01,25,9,0.84,0.27,0.7244457964273351,0.24946936816393728
3,0.2,removal,5,1000,0.005,25,6,0.77,0.85,0.6189011917548808,0.3263826084476361
1,0.25,replacement,1,800,0.01,4,6,0.64,0.98,0.6367716473955889,0.29966910000025704
0,0.0,removal,1,1000,0.005,10,9,0.25,0.61,0.5856819853205633,0.28361966983095066
5,0.25,removal,4,1000,0.03,13,9,0.38,1.0,0.9236274037478099,-0.0765733942160447
5,0.2,replacement,4,1000,0.005,7,6,0.28,0.17,0.5411148706526803,-0.02790428001164269
1,0.25,replacement,2,600,0.005,13,10,0.48,0.85,0.5538081238234056,0.17863419572187855
0,0.0,removal,4,600,0.05,13,8,1.0,0.75,0.8499658166503395,0.19333189205319934
3,0.25,removal,3,600,0.01,7,7,0.17,0.06,0.5171306364982067,0.3508682072033993
5,0.25,removal,2,1000,0.01,25,9,0.88,0.42,0.761769993622885,0.25305096793249693
0,0.25,removal,2,1000,0.005,10,7,0.48,0.44,0.563913547364391,0.3512856311309668
1,0.0,removal,2,800,0.005,13,7,0.39,0.96,0.597421998877995,0.17646303257174634
5,0.0,removal,1,800,0.01,4,8,0.12,0.42,0.6788574396187244,0.3471093903411767
1,0.0,removal,3,600,0.01,7,6,0.28,0.07,0.45876434327024296,0.2728085365998416
0,0.25,removal,4,800,0.03,4,7,0.49,0.87,0.8139443919024338,0.21760941118971688
1,0.25,removal,5,600,0.01,25,10,0.34,0.98,0.6834847671225083,0.13680182015130615
0,0.2,removal,2,600,0.005,13,6,0.73,0.05,0.33239716439344724,0.25421537722878373
5,0.2,removal,2,800,0.01,13,9,0.22,0.37,0.7069981372697949,0.2717529159017045
1,0.2,removal,4,600,0.03,4,9,0.87,0.09,0.6994268154284173,0.2730007825394356
