leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
10,600,6,0.05,1,8,0.6,0.51,0.9174,0.5384,0.1983
10,700,6,0.1,1,6,0.34,0.82,0.9226,0.5313,0.1983
4,500,6,0.08,1,6,0.42,0.7,0.9086,0.5346,0.1983
10,500,6,0.11,3,10,0.32,0.84,0.9507,0.5702,0.2169
13,700,6,0.1,3,6,0.66,0.74,0.9477,0.56,0.2169
10,600,6,0.11,2,9,0.22,0.78,0.9377,0.4582,0.202
13,600,6,0.11,3,6,0.75,0.42,0.9388,0.5442,0.2169
4,500,6,0.05,1,8,0.3,0.75,0.8803,0.5283,0.1983
10,600,6,0.11,2,10,0.37,0.92,0.9674,0.4714,0.202
25,700,6,0.1,3,7,0.55,0.4,0.9398,0.5508,0.2169
13,600,6,0.05,2,8,0.86,0.87,0.9262,0.4993,0.202
13,700,6,0.05,2,10,0.26,0.7,0.908,0.5032,0.202
7,700,6,0.1,1,6,0.6,0.75,0.9518,0.5427,0.1983
7,500,6,0.11,3,8,0.21,0.46,0.9148,0.5363,0.2169
4,700,6,0.1,1,7,0.88,0.94,0.9704,0.5112,0.1983
25,500,6,0.1,2,10,0.24,0.53,0.9026,0.4876,0.202
4,600,6,0.1,3,8,0.5,0.77,0.9649,0.5635,0.2169
13,500,6,0.11,2,6,0.75,0.82,0.9388,0.4703,0.202
4,700,6,0.05,3,9,0.21,0.94,0.9047,0.573,0.2169
7,600,6,0.08,3,8,0.52,0.87,0.9545,0.5724,0.2169
10,700,6,0.1,2,8,0.69,0.65,0.9759,0.4589,0.202
25,700,6,0.05,2,9,0.73,0.67,0.9364,0.4868,0.202
7,700,6,0.05,2,9,0.68,1.0,0.9528,0.4718,0.202
7,600,6,0.08,1,8,0.88,0.88,0.9568,0.5472,0.1983
7,700,6,0.11,3,10,0.64,0.77,0.9825,0.5576,0.2169
10,600,6,0.11,3,9,0.54,0.65,0.9706,0.5593,0.2169
4,500,6,0.1,3,9,0.79,0.75,0.9676,0.5546,0.2169
10,600,6,0.11,2,8,0.42,0.89,0.9644,0.4498,0.202
10,500,6,0.05,3,8,0.89,0.46,0.9088,0.5694,0.2169
25,700,6,0.11,3,7,0.77,0.76,0.9581,0.56,0.2169
10,600,6,0.11,3,7,0.54,0.52,0.9555,0.5738,0.2169
25,500,6,0.1,1,7,0.87,0.79,0.9309,0.5248,0.1983
7,600,6,0.08,1,9,0.88,0.83,0.9602,0.5544,0.1983
10,700,6,0.08,3,8,0.62,0.71,0.9626,0.556,0.2169
25,500,6,0.11,3,9,0.37,0.41,0.9243,0.5583,0.2169
7,600,6,0.05,1,6,0.33,0.66,0.8607,0.5394,0.1983
25,500,6,0.1,3,9,0.49,0.47,0.9385,0.5483,0.2169
13,700,6,0.11,2,6,0.76,0.52,0.9521,0.4729,0.202
4,500,6,0.05,1,8,0.41,0.65,0.8982,0.5482,0.1983
7,700,6,0.08,3,9,0.22,0.57,0.9286,0.5571,0.2169
25,500,6,0.11,1,8,0.26,1.0,0.8892,0.5268,0.1983
25,600,6,0.11,1,8,0.52,0.88,0.95,0.5191,0.1983
13,700,6,0.08,1,10,0.63,0.79,0.9697,0.5249,0.1983
25,700,6,0.05,2,10,0.48,0.4,0.9275,0.4727,0.202
13,700,6,0.05,1,8,0.86,0.99,0.9337,0.5297,0.1983
10,600,6,0.05,3,6,0.26,0.61,0.8372,0.5458,0.2169
10,500,6,0.11,2,10,0.26,0.94,0.9455,0.4824,0.202
4,700,6,0.1,3,6,0.45,0.69,0.9498,0.5719,0.2169
13,600,6,0.05,2,10,0.43,0.54,0.9262,0.5071,0.202
13,700,6,0.05,2,10,0.67,0.92,0.9518,0.4887,0.202
25,500,6,0.11,1,6,0.69,0.65,0.915,0.5313,0.1983
25,500,6,0.08,2,8,0.41,0.64,0.9117,0.4888,0.202
13,600,6,0.05,1,10,0.51,0.75,0.9296,0.5371,0.1983
25,500,6,0.05,3,7,0.35,0.47,0.8291,0.5612,0.2169
13,500,6,0.1,3,9,0.22,0.81,0.9067,0.5612,0.2169
4,700,6,0.05,3,8,0.82,0.7,0.9417,0.5633,0.2169
10,500,6,0.1,3,9,0.37,0.72,0.9457,0.5408,0.2169
4,500,6,0.11,2,8,0.31,0.82,0.9502,0.4737,0.202
13,500,6,0.11,3,10,0.79,0.47,0.9695,0.5459,0.2169
4,600,6,0.11,1,10,0.64,1.0,0.9783,0.5536,0.1983
13,700,6,0.11,1,10,0.45,0.73,0.9701,0.5128,0.1983
13,700,6,0.1,3,8,0.49,0.44,0.9582,0.555,0.2169
7,500,6,0.1,2,8,0.9,0.93,0.9648,0.4627,0.202
7,500,6,0.08,1,7,0.4,0.7,0.9194,0.5316,0.1983
25,600,6,0.1,1,10,0.89,1.0,0.9698,0.5314,0.1983
13,700,6,0.11,1,7,0.9,0.74,0.9683,0.5004,0.1983
7,500,6,0.05,1,9,0.27,0.47,0.8748,0.5299,0.1983
10,600,6,0.08,3,10,0.61,0.5,0.9623,0.5602,0.2169
10,500,6,0.1,2,10,0.28,0.74,0.9422,0.4646,0.202
4,700,6,0.1,3,9,0.89,0.52,0.979,0.55,0.2169
25,500,6,0.11,1,10,0.27,0.83,0.912,0.5232,0.1983
10,600,6,0.1,3,9,0.76,0.57,0.9708,0.5546,0.2169
25,600,6,0.1,3,9,0.46,0.97,0.9476,0.5546,0.2169
25,600,6,0.1,3,10,0.22,0.44,0.9013,0.568,0.2169
25,500,6,0.11,1,9,0.56,0.97,0.9521,0.5071,0.1983
25,700,6,0.08,1,9,0.85,0.46,0.9594,0.5238,0.1983
10,700,6,0.11,3,6,0.56,0.41,0.9484,0.5627,0.2169
7,600,6,0.1,2,10,0.26,0.96,0.9527,0.4839,0.202
13,500,6,0.11,1,7,0.3,0.58,0.9071,0.5279,0.1983
10,700,6,0.05,2,8,0.55,0.87,0.9417,0.4923,0.202
25,600,6,0.1,1,9,0.52,0.79,0.951,0.5292,0.1983
13,500,6,0.1,1,7,0.88,0.82,0.9448,0.5383,0.1983
13,600,6,0.08,3,10,0.31,0.97,0.9381,0.5736,0.2169
25,500,6,0.05,1,8,0.21,0.97,0.8092,0.5056,0.1983
7,600,6,0.05,3,9,0.21,0.92,0.8879,0.5631,0.2169
10,600,6,0.1,1,9,0.24,0.76,0.9309,0.5277,0.1983
13,600,6,0.11,2,7,0.31,0.61,0.9272,0.4988,0.202
13,600,6,0.11,2,6,0.81,0.95,0.9476,0.4636,0.202
7,600,6,0.1,2,7,0.5,0.67,0.961,0.4809,0.202
7,500,6,0.1,3,8,0.47,0.57,0.9517,0.5679,0.2169
10,700,6,0.08,3,7,0.9,0.51,0.9539,0.5354,0.2169
7,600,6,0.11,1,7,0.3,0.91,0.9387,0.5165,0.1983
13,700,6,0.08,3,8,0.77,0.9,0.9638,0.5554,0.2169
25,700,6,0.05,3,8,0.62,0.94,0.9226,0.5709,0.2169
13,500,6,0.1,2,8,0.39,0.53,0.9358,0.4752,0.202
25,700,6,0.11,2,10,0.37,0.98,0.9593,0.4681,0.202
10,600,6,0.08,3,7,0.56,0.49,0.9408,0.5602,0.2169
10,500,6,0.08,1,9,0.63,0.82,0.9513,0.5502,0.1983
4,700,6,0.08,1,9,0.47,0.63,0.96,0.5345,0.1983
7,500,6,0.05,3,7,0.62,0.98,0.9048,0.5597,0.2169
25,500,6,0.1,1,7,0.78,0.63,0.9294,0.535,0.1983
13,700,6,0.05,2,9,0.88,0.53,0.9448,0.4777,0.202
10,600,6,0.08,3,9,0.21,0.56,0.908,0.5755,0.2169
10,500,6,0.05,2,7,0.66,0.72,0.9027,0.4954,0.202
10,500,6,0.11,1,10,0.74,0.6,0.9689,0.5437,0.1983
10,700,6,0.11,3,7,0.25,0.73,0.9268,0.5547,0.2169
13,500,6,0.08,1,8,0.85,0.81,0.9394,0.527,0.1983
10,600,6,0.1,3,9,0.47,0.98,0.9664,0.5593,0.2169
10,500,6,0.11,1,8,0.66,0.46,0.9557,0.527,0.1983
25,600,6,0.1,2,10,0.23,0.43,0.9094,0.4777,0.202
13,600,6,0.08,2,7,0.75,0.81,0.9459,0.4837,0.202
7,600,6,0.11,2,6,0.52,0.87,0.9533,0.4558,0.202
4,500,6,0.05,3,6,0.34,0.45,0.8497,0.5623,0.2169
