min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
0,0.0,removal,1,600,0.01,10,6,0.8,0.23,0.5201384384307532,0.26290453702798156
1,0.0,replacement,5,1000,0.01,25,6,0.34,0.68,0.6581886343217129,0.15529553282354447
3,0.2,replacement,5,600,0.005,25,9,0.82,0.82,0.5942975460770934,0.2673408064285797
0,0.25,replacement,5,600,0.05,13,6,0.59,0.34,0.8353140543451082,0.30129658108992097
5,0.2,removal,1,600,0.03,4,9,0.98,0.13,0.8022197894816316,0.330187396871401
0,0.0,removal,1,600,0.01,7,6,0.31,0.13,0.4756200895396784,0.24269858434831115
0,0.2,replacement,5,600,0.03,10,8,0.37,0.65,0.8053745734421591,0.3079203948510951
5,0.25,removal,4,1000,0.005,13,7,0.59,0.34,0.63971924876064,0.15001085446470086
3,0.0,removal,5,600,0.05,25,6,0.22,0.98,0.8397043587862186,0.2580998278940856
3,0.2,removal,1,1000,0.005,4,10,0.08,0.59,0.646058368189776,0.2328364412139956
1,0.25,replacement,4,600,0.03,25,10,0.73,0.1,0.7870138393513714,0.24101289486993893
3,0.2,replacement,5,600,0.01,7,6,0.12,0.58,0.5636574376476524,0.2717135161398261
0,0.25,replacement,1,800,0.01,13,8,0.47,0.93,0.6738669933820547,0.25705111905494316
5,0.0,removal,1,1000,0.005,13,9,0.63,0.09,0.5466879669360536,0.3113345497607586
1,0.25,removal,2,1000,0.005,4,9,0.89,0.94,0.6698281523480534,0.13956870855637904
1,0.2,removal,1,600,0.03,25,9,0.83,0.12,0.7155120453178001,0.30680529001850754
0,0.25,removal,2,800,0.01,4,6,0.14,0.56,0.5831197237987018,0.3433628434053895
5,0.0,replacement,4,600,0.01,13,9,0.24,0.63,0.6818721795523339,0.10930817469699916
1,0.25,removal,1,600,0.03,25,8,0.18,0.72,0.7786437455206111,0.28354122719002983
1,0.0,replacement,2,600,0.03,13,8,0.12,0.23,0.7254614103806349,0.14073407755052358
5,0.0,replacement,4,800,0.03,13,8,0.62,0.73,0.8847305013553066,0.04823125557979657
1,0.0,replacement,4,600,0.01,7,7,0.3,0.13,0.5217958392807589,0.29901192353218775
5,0.2,replacement,2,800,0.005,25,6,0.35,0.71,0.5593475505919068,0.22067956558543422
1,0.2,removal,4,800,0.005,4,6,0.49,0.1,0.4393752951163471,0.27152535395519717
1,0.2,replacement,4,1000,0.05,10,8,0.34,0.37,0.9238412104812284,0.17241501783681856
0,0.0,removal,1,600,0.05,7,10,0.49,0.09,0.7142927858305261,0.27701911886277886
5,0.0,replacement,5,1000,0.03,25,10,0.25,0.07,0.796598055604293,0.2585114029153991
3,0.2,replacement,4,1000,0.03,4,10,0.55,0.17,0.9145737059297148,0.2525870907010831
1,0.2,replacement,3,600,0.005,4,8,0.35,0.94,0.5107651985621271,0.34242703485221315
0,0.25,removal,3,600,0.01,4,8,0.61,0.11,0.4932520261620982,0.31866091861355395
1,0.0,removal,1,1000,0.005,4,9,0.48,0.43,0.5931366420465302,0.3217352262747638
1,0.2,removal,5,800,0.005,13,10,0.81,0.42,0.6039178707372865,0.14911944354981488
0,0.0,replacement,4,600,0.005,7,8,0.73,0.88,0.5276667601658611,0.29651664132214184
0,0.2,replacement,4,600,0.05,13,6,0.97,0.66,0.8756885072546222,0.23341006499633377
5,0.25,replacement,3,600,0.01,25,10,0.6,0.31,0.6851753517465076,0.19641337212618393
3,0.0,replacement,1,1000,0.005,4,7,0.87,0.85,0.6523124171273045,0.2234171117087257
3,0.25,replacement,3,800,0.05,4,9,0.31,0.96,0.9378445605121875,0.33100058369676055
5,0.2,replacement,1,800,0.005,25,8,0.34,0.88,0.6203921963604582,0.30110936002792055
5,0.2,replacement,3,1000,0.05,25,6,0.89,0.09,0.9224525452580675,0.22006809667437788
3,0.2,removal,3,800,0.005,13,8,0.42,0.12,0.5226775725034356,0.34171375011114036
3,0.2,replacement,3,600,0.005,10,8,0.71,0.94,0.564219901490081,0.32199927482855417
5,0.2,replacement,1,1000,0.05,7,7,0.08,0.85,0.8452814254428506,0.33508495612888445
0,0.25,replacement,5,1000,0.03,25,9,0.13,0.24,0.716991646450239,0.2929614504003142
1,0.25,removal,3,1000,0.005,25,9,0.68,0.22,0.5773304643021131,0.37196926027474964
5,0.0,removal,3,1000,0.05,4,7,0.45,0.32,0.9203122874018257,0.09668047321214779
0,0.0,removal,1,600,0.01,4,7,0.52,0.73,0.5953884934777522,0.25959827562142024
3,0.0,removal,2,600,0.005,10,8,0.31,0.42,0.5508494725965004,0.2843883491190401
