leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
13,500,6,0.1,1,9,0.7,0.64,0.961,0.5413,0.1983
10,700,6,0.05,2,8,0.51,0.44,0.9287,0.5234,0.202
25,700,6,0.08,3,10,0.9,0.54,0.9618,0.6264,0.2169
7,600,6,0.1,3,6,0.3,0.89,0.9158,0.6092,0.2169
10,500,6,0.1,2,8,0.68,0.83,0.9611,0.5272,0.202
13,700,6,0.11,1,6,0.55,0.6,0.9423,0.5359,0.1983
13,700,6,0.08,2,9,0.2,0.41,0.907,0.5255,0.202
7,700,6,0.11,2,10,0.45,0.55,0.9764,0.5219,0.202
13,500,6,0.1,3,9,0.53,0.99,0.9571,0.6276,0.2169
13,600,6,0.05,1,6,0.59,0.51,0.8809,0.5133,0.1983
13,700,6,0.1,3,8,0.78,0.45,0.9683,0.6166,0.2169
10,700,6,0.05,1,7,0.21,0.4,0.848,0.4933,0.1983
10,600,6,0.11,3,7,0.84,0.81,0.9618,0.6084,0.2169
25,600,6,0.1,1,7,0.85,0.86,0.9401,0.5489,0.1983
13,700,6,0.11,1,10,0.51,0.47,0.9711,0.5164,0.1983
13,500,6,0.1,2,7,0.26,0.62,0.8923,0.5066,0.202
4,700,6,0.05,2,9,0.23,0.83,0.9113,0.5305,0.202
10,500,6,0.08,2,8,0.36,0.87,0.9249,0.5122,0.202
10,600,6,0.11,3,7,0.57,0.71,0.9577,0.5972,0.2169
7,600,6,0.1,2,6,0.56,0.73,0.9459,0.5342,0.202
10,600,6,0.1,1,10,0.42,0.6,0.9594,0.5284,0.1983
10,600,6,0.08,3,9,0.4,0.66,0.9445,0.6311,0.2169
4,500,6,0.05,1,9,0.7,0.51,0.9195,0.5277,0.1983
10,700,6,0.1,2,7,0.84,0.56,0.9674,0.4921,0.202
13,500,6,0.11,2,7,0.88,0.74,0.9561,0.5089,0.202
4,700,6,0.1,1,7,0.46,0.55,0.9592,0.5134,0.1983
7,700,6,0.11,1,9,0.86,0.62,0.9816,0.5214,0.1983
4,700,6,0.11,3,7,0.76,0.87,0.9737,0.6001,0.2169
10,600,6,0.11,2,6,0.3,0.71,0.9106,0.5248,0.202
25,600,6,0.11,1,8,0.84,0.99,0.9624,0.5252,0.1983
4,500,6,0.05,3,7,0.89,0.48,0.8953,0.624,0.2169
7,700,6,0.11,2,6,0.61,0.46,0.9571,0.495,0.202
4,700,6,0.08,1,10,0.56,0.61,0.9683,0.539,0.1983
7,500,6,0.05,3,9,0.38,0.44,0.8928,0.6201,0.2169
25,700,6,0.08,2,7,0.22,0.51,0.8544,0.5301,0.202
10,500,6,0.08,1,7,0.25,0.42,0.8729,0.5043,0.1983
10,500,6,0.1,2,7,0.84,0.6,0.9511,0.5262,0.202
25,500,6,0.05,3,8,0.32,0.42,0.8377,0.607,0.2169
4,500,6,0.05,2,7,0.6,0.49,0.8962,0.5358,0.202
13,700,6,0.08,1,6,0.59,0.68,0.9299,0.5095,0.1983
25,700,6,0.05,1,8,0.81,0.99,0.9187,0.5311,0.1983
25,500,6,0.05,3,9,0.49,0.52,0.8849,0.6175,0.2169
4,600,6,0.1,1,6,0.38,0.91,0.9348,0.5371,0.1983
10,600,6,0.05,2,9,0.89,0.69,0.9334,0.5228,0.202
4,700,6,0.1,1,7,0.81,0.67,0.9707,0.5153,0.1983
25,700,6,0.05,3,10,0.2,0.92,0.8536,0.6206,0.2169
4,500,6,0.11,2,10,0.53,0.54,0.9692,0.5392,0.202
4,700,6,0.11,3,7,0.67,0.73,0.9709,0.6255,0.2169
7,500,6,0.08,3,10,0.9,0.51,0.9527,0.631,0.2169
7,500,6,0.08,2,6,0.43,0.46,0.9016,0.5191,0.202
13,500,6,0.1,1,9,0.61,0.66,0.9591,0.5126,0.1983
4,700,6,0.1,2,8,0.64,0.79,0.9793,0.5179,0.202
7,700,6,0.11,2,8,0.77,0.56,0.98,0.515,0.202
25,700,6,0.11,3,9,0.57,0.6,0.9634,0.6319,0.2169
13,600,6,0.11,1,6,0.56,0.95,0.9394,0.5469,0.1983
4,700,6,0.05,2,9,0.63,0.91,0.9499,0.5157,0.202
7,500,6,0.11,3,8,0.43,0.4,0.9473,0.6317,0.2169
13,600,6,0.11,2,9,0.34,0.54,0.9505,0.5078,0.202
25,700,6,0.08,3,8,0.6,0.42,0.9393,0.6192,0.2169
4,700,6,0.05,3,10,0.64,0.47,0.9452,0.6291,0.2169
10,700,6,0.08,3,7,0.48,0.92,0.9447,0.6128,0.2169
25,600,6,0.11,2,7,0.61,0.98,0.9433,0.512,0.202
10,500,6,0.08,1,10,0.72,0.52,0.9536,0.5311,0.1983
4,500,6,0.11,1,7,0.54,0.4,0.9487,0.5235,0.1983
10,500,6,0.1,3,7,0.82,0.99,0.9466,0.612,0.2169
13,500,6,0.05,2,6,0.75,0.77,0.866,0.5189,0.202
10,500,6,0.1,3,7,0.45,0.84,0.9369,0.6246,0.2169
13,700,6,0.11,2,7,0.4,0.48,0.9442,0.547,0.202
13,600,6,0.05,2,6,0.69,0.42,0.8779,0.5194,0.202
7,600,6,0.11,1,7,0.62,0.78,0.9657,0.4967,0.1983
7,500,6,0.1,3,9,0.89,0.48,0.9615,0.6249,0.2169
25,700,6,0.08,2,8,0.63,0.52,0.9443,0.5176,0.202
7,600,6,0.11,1,10,0.66,0.74,0.9788,0.5735,0.1983
13,700,6,0.05,1,8,0.36,0.84,0.9084,0.5339,0.1983
13,500,6,0.1,2,8,0.32,0.89,0.927,0.5286,0.202
4,600,6,0.05,3,8,0.21,0.94,0.881,0.6069,0.2169
7,700,6,0.11,3,9,0.28,0.73,0.9549,0.6263,0.2169
10,700,6,0.1,1,6,0.48,0.77,0.9418,0.5263,0.1983
25,500,6,0.1,1,7,0.6,0.69,0.922,0.5165,0.1983
13,500,6,0.11,3,10,0.65,0.73,0.9678,0.6346,0.2169
25,600,6,0.08,2,10,0.25,0.85,0.9056,0.5112,0.202
7,600,6,0.05,2,7,0.65,0.57,0.9132,0.5188,0.202
7,500,6,0.11,1,8,0.89,0.7,0.9639,0.5338,0.1983
10,700,6,0.11,3,7,0.32,0.51,0.9347,0.6311,0.2169
13,500,6,0.08,2,6,0.57,0.92,0.9053,0.5122,0.202
7,600,6,0.05,3,6,0.47,0.41,0.882,0.6206,0.2169
10,500,6,0.05,2,9,0.29,0.9,0.8877,0.5377,0.202
25,700,6,0.08,3,7,0.2,0.47,0.8391,0.6171,0.2169
4,500,6,0.08,2,9,0.61,0.7,0.9537,0.5338,0.202
4,700,6,0.1,1,6,0.78,0.68,0.9604,0.531,0.1983
10,600,6,0.05,3,9,0.86,1.0,0.9321,0.6182,0.2169
13,600,6,0.08,2,6,0.8,0.81,0.9212,0.5193,0.202
7,700,6,0.08,2,6,0.89,0.42,0.9405,0.5056,0.202
7,600,6,0.1,1,6,0.38,0.61,0.9229,0.5246,0.1983
13,500,6,0.08,2,9,0.53,0.89,0.9495,0.5158,0.202
10,600,6,0.1,2,9,0.7,0.41,0.9705,0.5144,0.202
7,500,6,0.1,3,6,0.5,0.7,0.9233,0.625,0.2169
25,600,6,0.08,3,9,0.72,0.9,0.9498,0.6233,0.2169
10,500,6,0.08,3,10,0.69,0.81,0.9566,0.6197,0.2169
