leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
7.0,20.0,1.0,0.7,0.8348057633402121,0.8269639494959546,0.1834
4.0,700.0,2.0,0.04,0.8495385683007113,0.8269515026846871,0.1824
9.0,350.0,3.0,0.08,0.848973014051993,0.8261214539405141,0.1778
4.0,400.0,2.0,0.15,0.8589735980401336,0.8258806277445934,0.1847
6.0,250.0,1.0,0.07,0.8388228729357452,0.8255547787039097,0.1852
4.0,150.0,2.0,0.2,0.8526436604750978,0.8252457592520324,0.1861
8.0,150.0,2.0,0.05,0.8143873195031905,0.8247197303734516,0.1816
8.0,300.0,2.0,0.08,0.8450972161541335,0.8242798184880283,0.1821
5.0,400.0,1.0,0.02,0.8148773238383374,0.8229206748239708,0.1891
8.0,150.0,2.0,0.13,0.8435869805749673,0.8217703039898869,0.1826
7.0,40.0,2.0,0.5,0.8437295461459324,0.8192747606336708,0.1893
5.0,400.0,3.0,0.09,0.8523010325643301,0.8187768832911105,0.183
6.0,80.0,1.0,0.12,0.8216668959185925,0.8181915674518233,0.1781
6.0,60.0,1.0,0.12,0.8155712520943434,0.8178762384733352,0.1839
4.0,800.0,2.0,0.04,0.852991205639246,0.8174744136286565,0.1784
10.0,700.0,1.0,0.01,0.8127590559645135,0.8170251183825625,0.1758
4.0,100.0,1.0,0.11,0.8259487987075137,0.8162181352365093,0.1854
5.0,800.0,1.0,0.02,0.838560890163935,0.8156616585967045,0.1816
5.0,80.0,3.0,0.1,0.8204755698048823,0.8147523800657124,0.1878
5.0,40.0,2.0,0.11,0.8018477635532222,0.813575793620166,0.1796
7.0,700.0,1.0,0.03,0.845159441849415,0.8125333206360875,0.1835
9.0,100.0,2.0,0.07,0.8136671285960778,0.811156415578077,0.1909
6.0,40.0,3.0,0.3,0.8291110826994484,0.8106360294326405,0.1732
4.0,600.0,3.0,0.01,0.8098790598993615,0.8099055001365525,0.1831
7.0,40.0,1.0,0.15,0.8073480473138437,0.8096121505144127,0.1792
5.0,200.0,2.0,0.04,0.8176189927814025,0.8095723695934572,0.1849
4.0,300.0,1.0,0.03,0.8217452527741852,0.8091585744981423,0.1805
10.0,60.0,2.0,0.11,0.8122627248457136,0.8076852910287812,0.1856
5.0,40.0,2.0,0.09,0.7951978318044782,0.8023309854472132,0.1831
9.0,40.0,1.0,0.1,0.7998959514013249,0.7997128319034097,0.1808
5.0,80.0,1.0,0.05,0.7982363683993292,0.7994038131684102,0.1866
7.0,100.0,1.0,0.07,0.8190036696875196,0.795056919823446,0.1842
5.0,300.0,2.0,0.02,0.8152735002162406,0.7931288429226313,0.1805
6.0,350.0,1.0,0.02,0.8197519150832142,0.7928405494665635,0.1883
6.0,60.0,2.0,0.09,0.8106647553536134,0.7913909615362524,0.1831
4.0,40.0,1.0,0.11,0.8020371511068843,0.7909232404960078,0.1787
10.0,20.0,1.0,0.3,0.8151258309732976,0.7881080142601826,0.1836
4.0,250.0,1.0,0.01,0.7682328124694111,0.7799440501733799,0.1884
10.0,20.0,1.0,0.4,0.8186256956659299,0.7709908184600154,0.1825
7.0,20.0,3.0,0.12,0.7727998915713931,0.7655324002663901,0.1837
9.0,20.0,1.0,0.1,0.7547860055592195,0.7513366020559384,0.1796
4.0,20.0,2.0,0.06,0.6663984393210106,0.6647142534357637,0.184
7.0,20.0,2.0,0.04,0.5703870232594068,0.5550071327579272,0.1751
8.0,20.0,1.0,0.02,0.38055392465467375,0.38147291747771483,0.1815
5.0,40.0,3.0,0.01,0.37751888344402595,0.37385777221002237,0.1867
9.0,20.0,3.0,0.01,0.2216147540136213,0.21749969148754278,0.182
