min_CNLs,accuracy_train,accuracy_test,random_seed,tree,leaf,learn_rate
13,0.9253679634672529,-0.5278553235376426,2,1400,10,0.1
13,0.9257296758731759,-0.508964442348049,2,1600,10,0.1
13,0.6672462743922746,0.3362572559932109,1,400,10,0.01
13,0.8602892559556301,-0.3469979351817458,2,1400,10,0.01
13,0.8763536608232398,-1.0164473989299694,3,1400,6,0.05
14,0.8595463975945855,-0.20815814819633083,3,1600,4,0.05
14,0.7792399595416286,-0.5581333817420682,3,200,10,0.05
14,0.8311173927317241,-0.9768524052570173,1,100,8,0.15
14,0.7758032767799242,-0.7295684670595914,2,50,10,0.15
14,0.6320727788877097,-0.512521706497167,2,200,10,0.01
14,0.7200131894117391,-0.6672547597354714,2,400,4,0.01
14,0.8688932512585243,-0.8132983515190602,1,1000,10,0.05
14,0.8597630890296437,-0.5496422007498898,3,800,10,0.1
14,0.8633724763285386,-0.8206815566715757,2,1000,6,0.2
14,0.8635087743722829,-0.2970068172221718,2,1400,4,0.15
15,0.784067613991202,0.14455897969700304,2,100,4,0.1
15,0.9006340793554359,-0.6554739458622274,3,200,8,0.2
15,0.9001135775663379,-0.09045080542105088,1,400,8,0.2
15,0.8995177248793909,-0.497504556783698,3,400,8,0.1
15,0.9038266397954948,-0.040012428558235724,1,1400,6,0.1
15,0.9050832630471154,-0.10791147710596727,1,1200,6,0.2
15,0.7224206291655584,0.10629090646287975,2,50,4,0.1
15,0.8430446727243474,-0.49452448123617754,3,1200,6,0.01
15,0.9042534948697523,-0.10930817287782535,1,800,6,0.2
15,0.9047420017207148,-0.06853670295800263,1,1000,10,0.2
16,0.8335175238799318,0.23619530804969024,2,100,8,0.15
16,0.7166510748037488,0.15321603146557816,2,400,6,0.01
16,0.9013694533165394,-0.5175614288524566,3,100,6,0.15
16,0.6287928967283642,0.10934702129661589,2,200,8,0.01
16,0.8678866932346585,0.29738644710831186,2,600,8,0.1
16,0.9484506497096922,-0.5155572698310666,3,1000,6,0.15
16,0.49483754404172564,0.05874374144538608,2,100,4,0.01
16,0.9452044935690301,-0.5623903340349845,3,800,10,0.1
16,0.8367537114507223,0.4743682165983263,1,200,8,0.1
16,0.8737271782654572,0.12849315706869802,2,1600,10,0.15
17,0.8375042536742159,0.6024435770586472,3,200,10,0.15
17,0.8773313033160834,0.22914273051487333,2,800,6,0.1
17,0.8061570120866708,0.15096874492885426,2,100,6,0.1
17,0.837806568951114,0.5864783785597905,3,600,8,0.05
17,0.8788738006304916,0.17786640737888826,2,1200,4,0.1
17,0.8531042654400508,0.6427974690168893,3,400,6,0.2
17,0.8080875078936833,0.5444149961922007,3,1600,6,0.01
17,0.8557825234572745,0.6580421989882793,3,1200,6,0.2
17,0.862915946000981,0.252301351976814,1,1200,8,0.05
17,0.8503436604099299,0.11621340994710705,2,100,6,0.2
18,0.8551036341838135,0.461539429416854,3,600,10,0.1
18,0.844007078759341,0.44432345186284805,3,600,8,0.05
18,0.7012262409540708,0.276071724113536,2,100,6,0.05
18,0.8542040138329702,0.33304730673378735,1,1600,8,0.2
18,0.8536528128807382,0.33385838231945153,1,800,8,0.2
18,0.6822545990421045,0.2833138755967032,2,400,6,0.01
18,0.749981238747306,0.3089953243112973,2,800,8,0.01
18,0.7272841129946229,0.37066926113164256,3,50,10,0.1
18,0.8476555197273721,0.42921852248745573,2,1000,10,0.2
18,0.8540595278696388,0.30985971445740745,1,1200,6,0.2
19,0.9061945913377927,0.3459601963358887,2,400,8,0.2
19,0.8981501621656065,-0.19805496214293283,1,1600,8,0.05
19,0.908570216227374,0.22045302029213987,2,1400,6,0.2
19,0.9083527360414785,0.20967555906143787,2,1200,4,0.15
19,0.7489229297934255,0.2798114244132821,3,50,10,0.1
19,0.8442034073732241,0.3642576475515166,3,600,8,0.05
19,0.3157281213113423,0.09580223893262174,2,50,4,0.01
19,0.9003150154130041,-0.30768150172403397,1,1600,10,0.15
19,0.7746260282211452,0.2899345265694576,3,800,8,0.01
19,0.8052885084779385,0.31607111557467715,3,1200,4,0.01
20,0.8378893101147455,-0.36337289501813363,3,600,10,0.1
