min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,leaves,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test
3,0.0,replacement,2,600,0.08,7,6,0.41,0.84,0.915478420301076,0.1637946076104949
3,0.2,removal,2,800,0.08,4,4,0.43,0.24,0.8187232207858317,0.17669365417511762
0,0.2,replacement,3,1000,0.01,4,6,0.64,0.32,0.6497301323069415,0.23913334511255524
3,0.0,removal,1,1000,0.05,10,7,0.85,0.14,0.8818200802957782,0.1419066699711622
3,0.25,removal,1,800,0.08,10,7,0.43,0.29,0.9307979196980414,0.14931191507102015
3,0.2,replacement,3,600,0.08,25,10,0.15,0.17,0.8535555212863709,0.3395557528695067
0,0.0,replacement,1,600,0.1,4,10,0.48,0.28,0.8832793518232722,0.23292914004497522
3,0.25,replacement,1,600,0.08,13,9,0.54,0.23,0.9546703675572791,0.0749835237669052
5,0.2,removal,2,1000,0.01,7,5,0.47,0.97,0.6856074600248359,0.26287799280486945
0,0.25,replacement,3,1000,0.1,4,4,0.83,0.08,0.8340494770025051,0.21325047759792004
5,0.25,replacement,1,600,0.05,10,7,1.0,0.47,0.9390930861854346,0.29842533937868876
0,0.2,removal,3,1000,0.1,7,9,0.68,0.58,0.9358506837874826,0.030870569233809486
3,0.2,removal,1,1000,0.05,25,6,0.38,0.48,0.9074676830021267,0.1672216169862113
5,0.2,replacement,3,1000,0.01,4,4,0.93,0.74,0.6386734509279077,0.18724537642133487
3,0.25,removal,2,800,0.08,13,9,0.27,0.54,0.9462632128422485,0.10792857914406806
5,0.25,removal,1,1000,0.08,4,8,0.25,0.54,0.9617236313570756,0.2526162238305997
0,0.2,replacement,1,600,0.05,13,6,0.51,0.77,0.864519532873582,0.22934978536400374
0,0.0,replacement,2,600,0.08,4,10,0.79,0.56,0.8956708853286994,0.2759821455880823
3,0.2,removal,3,1000,0.1,25,7,0.14,0.49,0.9328908127537061,0.3187996047915782
5,0.0,replacement,3,800,0.05,7,6,0.51,0.53,0.9066221313902636,0.061747188468000536
0,0.0,replacement,2,1000,0.1,13,6,0.2,0.29,0.8621784749362782,0.3034394069541181
3,0.0,replacement,3,1000,0.05,13,4,0.73,0.87,0.8199473519260578,0.31100827704332923
5,0.25,removal,2,1000,0.08,7,9,0.61,0.23,0.9609001267615042,0.15177423893726594
5,0.25,removal,3,800,0.08,4,6,0.25,0.07,0.8619545437612169,0.015133748901878574
5,0.25,replacement,3,800,0.1,25,9,0.32,0.69,0.9766717874881344,0.11475108192433026
3,0.0,replacement,1,600,0.05,25,8,0.96,0.71,0.8977755913641976,0.14839634874069263
0,0.25,removal,2,1000,0.01,25,6,0.19,0.75,0.627905020045534,0.3496433444255235
3,0.25,replacement,1,1000,0.1,7,9,0.05,0.53,0.8851669302057842,0.08282372972748886
5,0.25,removal,2,800,0.01,25,8,0.96,0.08,0.6378454833797569,0.2350327685486452
3,0.25,removal,3,800,0.01,7,8,0.42,0.65,0.706774557231425,0.37626776464393596
5,0.25,removal,3,800,0.01,4,5,0.2,0.39,0.6358622153745668,0.15400257854426447
5,0.25,removal,2,1000,0.08,4,6,0.27,0.76,0.9533649891345671,0.16555286616607445
3,0.0,replacement,3,600,0.08,13,6,0.47,0.24,0.8701329269237126,0.33201449831869045
