min_CNLs,consensus_thres,consensus_alg,removeminusones_df,random_seed,tree,leaf,learn_rate,accuracy_train,accuracy_test
3,0.1,removal,0,3,1300,4,0.2,0.8322974376907747,0.06701258677363531
1,0.2,removal,0,1,1300,13,0.2,0.8005160871467751,0.059314834438009334
2,0.2,replacement,0,3,200,4,0.01,0.38980939434431816,0.11118010365262909
3,0.1,removal,0,3,800,13,0.15,0.8080905637969539,0.08121738888770524
1,0.2,removal,0,1,800,7,0.1,0.7503600018996235,0.1761154644194044
0,0.2,replacement,0,3,800,40,0.01,0.5314793238524502,0.3171264855327204
0,0.2,removal,0,2,1300,40,0.15,0.8036855984404063,0.01495275631837667
1,0.2,removal,0,2,400,4,0.05,0.6551102783694562,0.2211193987602058
1,0.25,replacement,0,3,1300,13,0.01,0.6029382067251515,0.20203073498655688
3,0.1,replacement,0,2,600,13,0.1,0.7966545989994751,0.1791648292357454
0,0.0,removal,0,2,600,4,0.05,0.6972003134727771,0.14316727922327377
3,0.0,removal,0,2,1600,10,0.1,0.7959326280046544,0.10633285751854882
1,0.0,replacement,0,2,600,10,0.1,0.7438306536788701,0.20583074086642794
3,0.2,replacement,0,1,200,40,0.1,0.6764379587226583,0.2151567572940103
0,0.25,replacement,0,3,600,4,0.1,0.7579548393189083,0.26465076749602634
1,0.1,removal,0,1,800,13,0.2,0.7826853462146067,0.17517646873199755
3,0.0,replacement,0,3,800,13,0.2,0.817385015104771,0.06376804040891826
2,0.25,removal,0,1,1600,10,0.01,0.6315374978579128,0.3359495866001696
2,0.0,replacement,0,1,800,4,0.15,0.7800920589754432,0.20340674685244575
0,0.1,removal,0,2,1000,13,0.01,0.5846064001595961,0.20586357004306588
2,0.25,replacement,0,2,600,13,0.2,0.8256061412454583,-0.09445125672187404
0,0.1,removal,0,3,1600,10,0.05,0.7392289542306223,0.2622207808001633
2,0.1,removal,0,2,200,7,0.2,0.721596852200801,-0.03768861391830458
2,0.0,replacement,0,3,800,10,0.15,0.7823461719302265,-0.0012783459359413385
3,0.25,replacement,0,1,1300,10,0.15,0.8448620137361786,0.18521908147462252
1,0.0,replacement,0,2,400,40,0.15,0.7433212406662559,0.15775578254882894
2,0.1,removal,0,3,200,7,0.01,0.4194263573587419,0.11561764030702437
3,0.25,replacement,0,3,800,40,0.15,0.839111439690423,-0.01027091025216631
2,0.2,replacement,0,1,800,4,0.15,0.8257892293612611,0.23881366947868898
1,0.1,replacement,0,3,200,4,0.01,0.39121769496732184,0.2056404932525988
3,0.0,removal,0,2,800,40,0.01,0.5593770428233323,0.17473877894181544
2,0.2,replacement,0,1,1000,7,0.15,0.8365672836121436,0.25689073051267985
2,0.0,removal,0,1,1300,4,0.2,0.806800216007533,0.16455606460383332
2,0.0,removal,0,1,400,40,0.2,0.7589658707300648,0.1900335978611225
