min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
0,0.25,replacement,1,1600,0.12,10,0.9949025610538264,0.04796317267865391
0,0.0,replacement,1,1600,0.15,6,0.9694513871057583,-0.0453995560291951
3,0.2,replacement,1,400,0.1,6,0.9435160279500133,0.3248502692589277
1,0.25,replacement,3,600,0.08,6,0.937980651760822,0.32551571555621583
2,0.1,replacement,2,1300,0.05,10,0.9841335098301934,0.22487960759157755
2,0.25,removal,3,800,0.05,4,0.7770454396321758,0.2812480008740118
0,0.25,removal,2,1000,0.12,4,0.876209292787272,0.33260890803033005
0,0.2,replacement,3,400,0.08,6,0.8961207404847266,0.266232025058595
0,0.2,removal,3,1000,0.08,10,0.9417410172869487,-0.03030216539079711
1,0.2,removal,2,1300,0.05,10,0.9440940412898707,0.27418389937822585
3,0.2,removal,3,1300,0.15,10,0.986552345754974,0.2584480948037523
0,0.1,replacement,2,800,0.15,4,0.9345874893595613,0.2950948573271881
0,0.1,removal,3,800,0.05,6,0.8657129969630848,0.21388501720718223
3,0.1,replacement,3,400,0.15,8,0.9823450724736108,0.32728872116247176
2,0.0,replacement,1,1600,0.12,4,0.9361012444447692,0.16727391794970192
2,0.25,removal,1,1000,0.1,4,0.8935402568951016,0.21271976317802477
0,0.25,removal,2,1300,0.15,8,0.9694001908909612,0.2753717276680355
1,0.0,replacement,1,800,0.15,8,0.9628706013464335,0.15769119696765643
0,0.2,removal,1,1600,0.05,4,0.8433190852498665,0.11182391180783846
2,0.0,removal,3,600,0.05,10,0.8898429095869954,0.28534047793517414
1,0.0,removal,2,1000,0.1,4,0.8767840740258163,0.2855635554378714
1,0.1,replacement,3,800,0.08,8,0.9761532044065658,0.2892381459254625
3,0.2,replacement,2,1600,0.1,10,0.9973633635782603,0.3038350425640165
2,0.2,replacement,3,400,0.08,6,0.917773263492661,0.3048317136786066
1,0.2,removal,2,800,0.12,6,0.9461276521365453,0.24852458033424452
3,0.0,removal,1,1300,0.15,10,0.9855818933517835,0.24633899182041452
0,0.25,removal,1,400,0.12,4,0.7860495283752769,0.11742093903961426
3,0.1,replacement,2,1000,0.12,10,0.9957662377299189,0.31434406822683225
1,0.25,replacement,2,600,0.1,8,0.9705658146667459,0.29148772958683433
1,0.0,replacement,2,1000,0.05,4,0.7909500802658427,0.3308506830652497
1,0.1,removal,3,1600,0.1,6,0.9688263059726527,0.24988953805289915
