min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
0,0.0,replacement,3,800,0.1,8,0.9350039636457621,0.02500745156837736
0,0.25,replacement,2,400,0.08,8,0.916120951395592,0.3515981191499118
2,0.25,replacement,2,400,0.1,6,0.9368963357524587,0.312896983719928
3,0.0,removal,3,600,0.08,8,0.9348462268661173,0.34557102238193993
0,0.0,replacement,2,1600,0.08,6,0.9434577007740249,0.34623869372015825
2,0.1,replacement,3,1600,0.1,10,0.9979309594778685,0.3147316543129428
3,0.1,replacement,3,1300,0.08,6,0.9923035594399625,0.31797827398461576
1,0.2,replacement,1,1300,0.05,6,0.9648162784079126,0.2709057479549257
0,0.25,replacement,1,1000,0.15,10,0.9930094009016806,0.06657410343750492
1,0.25,replacement,1,1600,0.05,10,0.9854293650934554,0.26608283950820233
3,0.25,replacement,2,1300,0.15,4,0.9789924080822691,0.3106683661626177
1,0.25,removal,1,1000,0.12,8,0.9697490852384938,0.16553586997798952
2,0.2,removal,1,800,0.1,4,0.8790579037550782,0.1629218871305005
1,0.25,replacement,3,400,0.05,4,0.6938721824936331,0.3429177921681619
0,0.25,removal,1,800,0.12,8,0.9471646285079574,0.05365863197065868
0,0.0,removal,1,800,0.08,4,0.8178463303375259,0.1721887937315253
1,0.2,replacement,1,1600,0.1,10,0.9970536300147358,0.25007649607337545
0,0.1,removal,3,1600,0.1,10,0.9653814604791384,-0.08425851997943412
1,0.25,replacement,3,600,0.15,8,0.9875271943292647,0.22621999449473928
1,0.2,removal,3,1600,0.15,6,0.9818426524692626,0.14708818935224666
0,0.1,replacement,3,600,0.15,4,0.9227886722370766,0.2627166315811278
0,0.2,removal,1,1300,0.1,4,0.8917147334928398,0.0734725981537575
1,0.25,removal,1,800,0.15,6,0.9605304452984204,0.1231450232530682
1,0.25,replacement,2,1300,0.1,6,0.9886317677800606,0.2403952353874539
0,0.0,removal,2,1300,0.05,10,0.9268172334740995,0.35784402693364925
1,0.25,replacement,1,1300,0.1,6,0.9884565598059204,0.2369567771890233
1,0.2,replacement,3,400,0.08,10,0.939756047591624,0.2898034372927586
2,0.25,removal,1,1000,0.08,6,0.9507200814999324,0.1718542666478453
0,0.1,removal,1,800,0.12,6,0.9341059373863346,0.07578963542945472
3,0.0,removal,2,1600,0.12,10,0.9867788123384718,0.3227056830691274
3,0.25,removal,2,600,0.05,10,0.9098402478052052,0.4390220294438594
0,0.25,removal,2,600,0.1,10,0.9223944773361035,0.3724883263222941
3,0.2,replacement,2,1300,0.12,6,0.9960941467319375,0.35794788349744866
0,0.2,replacement,3,600,0.15,4,0.9188124792736436,0.23557484428038955
1,0.1,removal,1,1600,0.12,6,0.9735757653446101,0.06545753613579997
3,0.25,replacement,3,1300,0.05,8,0.9847871982014104,0.31677878045086916
0,0.2,removal,2,800,0.15,4,0.8715738872557877,0.3688665479419121
2,0.2,replacement,3,800,0.1,8,0.9884535367905176,0.2943858476599197
1,0.25,removal,3,1000,0.08,4,0.8666478321935646,0.18128371642940477
2,0.2,removal,2,1300,0.08,4,0.9014628480150402,0.18859172200778085
3,0.1,removal,1,600,0.05,4,0.7665193945872081,0.32329256135295725
1,0.1,removal,1,1600,0.1,8,0.9751281752683012,0.1145317139747517
3,0.1,removal,1,1600,0.1,4,0.9366723073873702,0.25865383878652304
2,0.0,replacement,2,400,0.05,10,0.8528268032665685,0.30756075017543105
3,0.0,removal,2,400,0.08,8,0.9001674893144329,0.44402928859360224
3,0.1,removal,1,400,0.15,6,0.9384456850031032,0.23999461165116465
1,0.25,replacement,1,400,0.05,6,0.8323877280564865,0.3137173748183849
3,0.1,removal,2,800,0.05,6,0.8998504362131962,0.42008923943294985
3,0.1,replacement,1,1300,0.15,4,0.9822925821202538,0.3618395706691858
3,0.1,removal,3,1300,0.08,6,0.9660209920487073,0.3648722605615037
3,0.0,removal,1,1000,0.1,4,0.9069951928698745,0.2594087209051832
0,0.0,replacement,2,1300,0.15,6,0.9615447276137367,0.29212649982799566
0,0.1,replacement,3,1300,0.15,6,0.9944076328558615,0.22991042862537703
2,0.0,removal,2,600,0.15,6,0.9541256250532121,0.11789267233237577
2,0.25,replacement,3,1300,0.05,10,0.9830709550547488,0.30323105096264136
2,0.0,replacement,2,400,0.05,8,0.8437761946764302,0.32112138855004535
0,0.25,replacement,1,1000,0.15,4,0.9504334047558944,0.1281260621602066
1,0.1,replacement,1,800,0.05,10,0.9596286476089659,0.2666150349444837
2,0.1,removal,1,400,0.12,10,0.9343535181593194,0.23566922083803465
2,0.0,replacement,3,1600,0.12,10,0.9843253061174965,0.23547457414707407
1,0.1,replacement,3,1000,0.05,4,0.8629459240548338,0.313183898596215
0,0.0,removal,2,400,0.15,6,0.8956099403135831,0.36495053341751715
1,0.2,removal,1,1600,0.1,6,0.969230608894326,0.003025340176612712
3,0.2,removal,1,1000,0.1,8,0.9735023197228738,0.23282183184654925
3,0.1,replacement,3,600,0.08,10,0.9801483111316022,0.32893282450604233
3,0.1,replacement,1,800,0.15,6,0.9938024055719741,0.3676763958281726
3,0.1,replacement,2,800,0.12,10,0.9941681353539369,0.3662724905861148
0,0.2,removal,2,1300,0.05,6,0.9045690426591462,0.3773367180248396
0,0.2,removal,1,1600,0.05,10,0.942430897848563,0.097377251126183
3,0.1,replacement,2,400,0.05,6,0.8701673444894883,0.38386957871549454
0,0.0,removal,1,1000,0.1,6,0.9368113748157876,0.05752634061885464
1,0.1,replacement,3,1600,0.1,6,0.9940621378889436,0.24646547159868026
2,0.25,replacement,2,800,0.1,8,0.9872413759605326,0.23807917001416856
0,0.25,replacement,1,800,0.08,6,0.953425564894375,0.14308612008048283
1,0.2,removal,3,600,0.1,6,0.9197487133217379,0.24310665015266397
1,0.2,removal,2,400,0.15,4,0.8350524961097321,0.34284575937851436
1,0.25,removal,2,1300,0.05,8,0.942363408006274,0.29112602818051125
2,0.25,removal,2,1000,0.05,8,0.9391651336733884,0.23567624202033566
3,0.25,removal,3,400,0.15,4,0.8589039036032413,0.2978140805165086
2,0.2,replacement,3,1300,0.1,4,0.960861701370659,0.2903531956798616
2,0.25,replacement,2,600,0.12,8,0.9843105330241783,0.25470644038153123
2,0.1,removal,2,1600,0.1,4,0.9308173373753327,0.14170687765619117
1,0.0,removal,3,1000,0.1,10,0.9616187247415753,0.2077893454545171
3,0.2,replacement,2,1600,0.05,6,0.9837183385199512,0.35789632749807065
1,0.0,removal,1,1600,0.12,8,0.9794218783130639,0.16134821651578224
2,0.1,removal,1,800,0.15,6,0.9673031020980951,0.16807186879662017
2,0.1,replacement,1,400,0.05,10,0.9048424528043849,0.23281237871228067
1,0.0,replacement,3,1300,0.12,4,0.9160278520864732,0.24350007387549644
0,0.25,removal,1,600,0.15,6,0.9314317175141661,0.043974623016088454
2,0.2,replacement,3,1000,0.08,8,0.9876176238104598,0.3196126545754835
3,0.0,removal,1,1300,0.15,4,0.94773629359791,0.21528588608582788
3,0.2,replacement,2,1000,0.05,4,0.8884222122132253,0.3676775711713094
3,0.25,removal,2,1300,0.15,6,0.9850115075997349,0.32363656803802787
3,0.25,removal,1,1300,0.05,6,0.9474548540155834,0.23849300815260466
1,0.1,replacement,2,400,0.08,8,0.9365042475689472,0.31460560710066043
1,0.2,replacement,1,1000,0.12,4,0.9444285468208939,0.25266380114665643
0,0.1,replacement,3,800,0.05,6,0.9266169227898046,0.2750097000559244
0,0.0,removal,3,1300,0.15,6,0.9629266761419863,-0.11496281131011421
3,0.25,removal,3,600,0.1,8,0.9511044253605383,0.2955978320248295
1,0.25,replacement,1,400,0.15,8,0.9722507559514199,0.26829324161377777
2,0.2,removal,1,1000,0.05,4,0.8233454516877534,0.24634844261740751
0,0.1,replacement,3,800,0.1,6,0.97260458322751,0.2548311694172226
0,0.2,removal,1,800,0.15,6,0.9452963698373295,0.03127136814057374
2,0.1,removal,1,600,0.05,8,0.8909187816606189,0.23510386456859234
0,0.0,removal,2,1600,0.05,6,0.9161364972665447,0.3887754824034383
3,0.25,removal,2,800,0.12,6,0.9643982883050326,0.38598370871881627
3,0.1,replacement,1,600,0.12,4,0.9249325195726926,0.373708760924532
2,0.1,removal,2,800,0.12,10,0.9692011353198543,0.18899531168447914
0,0.0,removal,2,1300,0.08,10,0.9499242088900517,0.34141869327931584
0,0.25,removal,3,600,0.05,10,0.8680518378903619,0.2070916602502878
1,0.2,replacement,3,800,0.15,8,0.9932643398691552,0.2541481365779974
2,0.2,replacement,3,400,0.15,10,0.9817045251331113,0.28498517595012984
1,0.0,removal,3,1000,0.15,10,0.9764754653714169,0.23653205240217878
3,0.2,replacement,1,600,0.05,6,0.9161811680344482,0.37342283675275123
0,0.1,removal,3,1300,0.12,4,0.9021259562659957,-0.03926974187883947
3,0.1,removal,2,1600,0.12,8,0.9868139882650981,0.3582047605132793
2,0.0,replacement,2,400,0.15,8,0.9434172660836821,0.20749381456657967
2,0.25,replacement,3,1600,0.12,4,0.9747716324880489,0.2829605604615174
3,0.1,removal,3,1600,0.1,6,0.9786269011303165,0.3367238434481983
3,0.2,replacement,2,1600,0.08,10,0.996344131776078,0.3586061143875586
0,0.2,removal,1,1000,0.15,6,0.954249919561945,0.009607241151476154
0,0.2,removal,2,1000,0.05,6,0.8821306420018328,0.39252403876238573
1,0.0,replacement,2,1000,0.1,4,0.8751975644553984,0.34803762342333844
1,0.0,removal,1,1300,0.15,6,0.9747907370517701,0.1043881597796209
0,0.2,replacement,3,1600,0.08,10,0.9919311602807763,0.21079644165663536
3,0.0,removal,2,800,0.08,10,0.9537657213714441,0.3793649625897789
0,0.25,removal,1,1000,0.05,6,0.8908818567654708,0.11522101462882328
3,0.2,removal,3,600,0.05,10,0.9059665711314497,0.33944912954381057
1,0.1,replacement,3,400,0.08,8,0.9341671607445247,0.3074053752270465
3,0.2,removal,2,400,0.08,4,0.7624962441971908,0.4233455272105816
2,0.2,removal,2,400,0.08,10,0.9069244789829318,0.2332951315162457
3,0.1,replacement,2,600,0.08,6,0.9624176305476407,0.3461194019031534
3,0.25,removal,1,800,0.08,6,0.9475526372243505,0.2410780012182805
1,0.0,replacement,2,1300,0.15,6,0.9750423344878454,0.26267001976972926
2,0.25,removal,3,400,0.12,8,0.932059413257772,0.30179599165892146
3,0.25,removal,3,600,0.08,4,0.8208946821839911,0.2809126154210315
2,0.25,removal,2,1600,0.15,6,0.9866386678958498,0.10770516446785872
0,0.0,removal,1,600,0.05,10,0.8713628801222315,0.15934656573364303
3,0.1,removal,3,400,0.08,4,0.7659405246737968,0.3885374185156406
1,0.25,removal,2,1600,0.05,6,0.9365167514472632,0.28039295200781966
0,0.1,replacement,1,1600,0.08,10,0.9927258114115743,0.07400126690866415
0,0.2,replacement,3,1300,0.1,6,0.9852941977402229,0.2321534929838469
2,0.2,replacement,2,1000,0.12,8,0.9951965345621955,0.2377365725912447
2,0.25,replacement,2,1600,0.1,10,0.9975486901535084,0.23148923192757975
2,0.2,removal,2,1600,0.12,4,0.9426137057573594,0.10984111529945217
0,0.0,replacement,3,800,0.12,10,0.948423898606756,-0.06911135255173506
2,0.1,replacement,2,1000,0.1,6,0.9888268921734027,0.27029639154581186
2,0.1,removal,3,800,0.1,6,0.9430784607814869,0.28866538792610896
0,0.2,replacement,2,800,0.12,6,0.9726404267783252,0.3287241986963184
0,0.0,removal,2,600,0.15,6,0.92559583372269,0.34300538432290417
3,0.1,removal,1,600,0.12,6,0.9502077465206358,0.2701556894332311
2,0.2,replacement,2,1300,0.08,10,0.9942787684184684,0.2373903919244703
2,0.25,replacement,2,800,0.1,10,0.98896741042492,0.2389769980821318
1,0.25,replacement,3,600,0.15,6,0.9798873130265281,0.2676476825463585
0,0.25,removal,2,600,0.15,10,0.9427735726575793,0.32793088904847834
2,0.0,replacement,2,600,0.05,10,0.8969268892383332,0.27758169738526806
0,0.25,removal,2,400,0.1,4,0.7394805959426448,0.407645402583794
