leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
4,600,6,0.08,2,4,0.74,0.72,0.875,0.4419,0.2072
13,800,6,0.1,2,5,0.47,0.38,0.9205,0.4415,0.2072
4,600,6,0.1,1,5,0.59,0.74,0.9296,0.5193,0.1974
7,800,6,0.01,2,6,0.17,0.93,0.7089,0.3968,0.2072
10,1000,6,0.05,3,5,0.18,0.38,0.8267,0.5828,0.1985
10,600,6,0.1,2,8,0.13,0.81,0.8919,0.4597,0.2072
10,800,6,0.05,2,7,0.65,0.36,0.935,0.452,0.2072
4,800,6,0.01,2,9,0.41,0.15,0.7531,0.4076,0.2072
10,600,6,0.1,3,10,0.49,0.29,0.9635,0.6109,0.1985
4,600,6,0.1,2,9,0.09,0.38,0.9091,0.458,0.2072
13,1000,6,0.1,3,4,0.53,0.5,0.9034,0.6004,0.1985
10,800,6,0.01,3,8,0.84,0.1,0.7379,0.5458,0.1985
7,800,6,0.1,2,5,0.95,0.47,0.9452,0.4375,0.2072
13,1000,6,0.1,3,7,0.4,0.42,0.9566,0.6009,0.1985
4,1000,6,0.05,2,9,0.22,0.32,0.9326,0.4666,0.2072
10,600,6,0.1,3,10,0.6,0.88,0.9753,0.6113,0.1985
10,600,6,0.05,3,7,0.93,0.88,0.9121,0.5926,0.1985
13,600,6,0.1,1,8,0.58,0.68,0.9656,0.5089,0.1974
7,1000,6,0.01,1,5,0.75,0.8,0.7514,0.5096,0.1974
7,1000,6,0.01,1,5,0.13,0.81,0.6867,0.4648,0.1974
13,800,6,0.1,1,5,0.8,0.15,0.9265,0.5399,0.1974
10,800,6,0.08,3,8,0.77,0.19,0.9657,0.6024,0.1985
25,600,6,0.01,3,5,0.2,0.53,0.6188,0.4958,0.1985
7,800,6,0.1,1,4,0.81,0.19,0.8947,0.5115,0.1974
7,1000,6,0.01,2,9,0.41,0.28,0.8059,0.4388,0.2072
4,800,6,0.1,1,6,0.77,0.79,0.9696,0.506,0.1974
7,600,6,0.05,1,8,0.11,0.61,0.8455,0.506,0.1974
10,600,6,0.05,1,7,0.36,0.2,0.8819,0.5193,0.1974
4,800,6,0.05,3,7,0.17,0.44,0.8849,0.5919,0.1985
4,600,6,0.01,1,4,0.98,0.69,0.648,0.4686,0.1974
10,600,6,0.01,2,4,0.66,0.17,0.6312,0.3749,0.2072
4,1000,6,0.01,2,9,0.33,0.24,0.7912,0.4354,0.2072
13,800,6,0.1,1,8,0.95,0.12,0.9728,0.508,0.1974
7,1000,6,0.01,3,7,0.89,0.47,0.7946,0.5741,0.1985
13,1000,6,0.1,2,10,0.99,0.27,0.9897,0.42,0.2072
4,800,6,0.05,3,8,0.35,0.72,0.9349,0.6103,0.1985
25,800,6,0.05,1,8,0.87,0.47,0.9363,0.5148,0.1974
13,600,6,0.1,3,10,0.21,0.88,0.9325,0.5998,0.1985
13,800,6,0.08,2,8,0.72,0.25,0.9669,0.4032,0.2072
7,600,6,0.05,2,9,0.87,0.88,0.9384,0.4396,0.2072
4,600,6,0.08,3,8,0.11,0.31,0.8854,0.5775,0.1985
13,600,6,0.1,3,9,0.1,0.23,0.8605,0.5865,0.1985
13,600,6,0.1,1,6,0.14,0.94,0.8551,0.4999,0.1974
10,1000,6,0.01,1,10,0.27,0.09,0.7673,0.4775,0.1974
10,1000,6,0.05,2,5,0.68,0.29,0.9022,0.4334,0.2072
4,1000,6,0.08,3,8,0.36,0.62,0.9679,0.6042,0.1985
10,800,6,0.08,3,10,0.47,0.84,0.9724,0.607,0.1985
10,1000,6,0.08,2,9,0.09,0.88,0.9009,0.4315,0.2072
4,600,6,0.08,3,10,0.63,0.61,0.9666,0.6132,0.1985
25,600,6,0.1,2,6,0.83,0.67,0.934,0.4557,0.2072
13,600,6,0.05,2,4,0.88,0.1,0.7884,0.4061,0.2072
10,800,6,0.08,2,9,0.98,0.7,0.9809,0.4121,0.2072
4,1000,6,0.08,1,8,0.59,0.41,0.9787,0.5177,0.1974
13,600,6,0.01,3,4,0.69,0.7,0.6361,0.5045,0.1985
25,600,6,0.08,1,6,0.76,0.81,0.915,0.5327,0.1974
25,1000,6,0.01,1,6,0.94,0.5,0.7716,0.5077,0.1974
13,1000,6,0.05,2,7,0.28,0.06,0.8754,0.44,0.2072
25,1000,6,0.1,2,6,0.46,0.38,0.9363,0.4588,0.2072
13,800,6,0.05,3,4,0.09,0.64,0.7191,0.5455,0.1985
7,600,6,0.1,2,8,0.16,0.6,0.9148,0.4511,0.2072
10,800,6,0.01,3,6,0.34,0.51,0.7242,0.545,0.1985
7,1000,6,0.1,1,5,0.39,0.81,0.9411,0.5234,0.1974
10,600,6,0.01,3,8,0.97,0.96,0.7508,0.5536,0.1985
13,800,6,0.01,1,9,0.79,0.81,0.7978,0.5147,0.1974
13,800,6,0.1,1,4,0.06,0.51,0.7457,0.4669,0.1974
7,1000,6,0.01,2,8,0.05,0.5,0.6782,0.4016,0.2072
13,600,6,0.05,2,6,0.18,0.8,0.8171,0.4588,0.2072
4,1000,6,0.1,3,7,0.84,0.11,0.975,0.5771,0.1985
25,600,6,0.1,2,10,0.97,0.4,0.9749,0.4312,0.2072
10,600,6,0.1,1,4,0.15,0.76,0.804,0.4913,0.1974
10,600,6,0.08,3,6,0.24,0.21,0.8623,0.584,0.1985
7,800,6,0.08,3,6,0.09,0.4,0.8354,0.5824,0.1985
25,800,6,0.05,1,7,0.24,0.71,0.854,0.501,0.1974
7,800,6,0.01,2,7,0.34,0.47,0.7541,0.4141,0.2072
7,1000,6,0.1,2,5,0.26,0.61,0.9188,0.4213,0.2072
10,1000,6,0.01,2,5,0.34,0.13,0.7048,0.3982,0.2072
13,800,6,0.1,3,5,0.13,0.65,0.8268,0.5819,0.1985
4,800,6,0.1,3,10,0.29,0.55,0.9665,0.6129,0.1985
10,1000,6,0.01,1,7,0.46,0.27,0.782,0.4964,0.1974
4,1000,6,0.05,3,10,0.88,0.56,0.9683,0.6081,0.1985
13,600,6,0.08,2,6,0.47,1.0,0.9233,0.4675,0.2072
7,1000,6,0.08,2,4,0.26,0.63,0.8673,0.4529,0.2072
7,800,6,0.01,2,10,0.19,0.77,0.7643,0.4139,0.2072
7,800,6,0.1,3,6,0.9,0.24,0.9597,0.5983,0.1985
4,800,6,0.05,2,7,0.92,0.69,0.9415,0.4586,0.2072
10,1000,6,0.05,2,8,0.3,0.36,0.9308,0.4433,0.2072
4,600,6,0.01,1,8,0.42,0.13,0.7039,0.4705,0.1974
25,800,6,0.1,3,6,0.69,0.97,0.9474,0.6191,0.1985
25,600,6,0.1,2,8,0.05,0.24,0.7369,0.4334,0.2072
10,800,6,0.01,1,8,0.93,0.39,0.7758,0.5084,0.1974
13,1000,6,0.01,1,8,0.62,0.19,0.7941,0.5049,0.1974
25,600,6,0.05,2,5,0.69,0.94,0.8426,0.4366,0.2072
7,1000,6,0.05,1,9,0.09,0.98,0.8885,0.5142,0.1974
7,1000,6,0.1,1,8,0.76,0.41,0.9852,0.5177,0.1974
4,1000,6,0.08,1,4,0.75,0.05,0.8717,0.4913,0.1974
7,1000,6,0.1,1,4,0.48,0.83,0.9176,0.5016,0.1974
25,1000,6,0.1,3,9,0.17,0.07,0.8881,0.5917,0.1985
10,800,6,0.1,2,5,0.7,0.27,0.9347,0.4179,0.2072
10,800,6,0.1,1,9,0.41,0.32,0.9683,0.5129,0.1974
4,800,6,0.08,1,8,0.52,0.47,0.9684,0.5193,0.1974
4,1000,6,0.05,3,6,0.96,0.42,0.9366,0.5947,0.1985
25,600,6,0.05,1,7,0.11,0.88,0.7641,0.4871,0.1974
10,600,6,0.08,1,9,0.08,0.76,0.8565,0.5009,0.1974
7,800,6,0.08,2,7,0.49,0.66,0.9632,0.4548,0.2072
13,1000,6,0.05,3,6,0.2,0.44,0.8538,0.5791,0.1985
25,600,6,0.1,1,9,0.14,0.47,0.8622,0.4938,0.1974
13,1000,6,0.05,2,9,0.15,0.71,0.8952,0.4566,0.2072
4,600,6,0.01,1,10,0.91,0.55,0.7477,0.4961,0.1974
10,1000,6,0.08,2,5,0.64,0.39,0.9354,0.4616,0.2072
7,600,6,0.1,1,8,0.76,0.81,0.9723,0.5317,0.1974
10,800,6,0.05,2,10,0.69,0.72,0.9623,0.4319,0.2072
4,800,6,0.08,3,9,0.11,0.31,0.9162,0.5938,0.1985
7,600,6,0.01,2,10,0.39,0.86,0.7555,0.4104,0.2072
7,800,6,0.01,3,6,0.48,0.92,0.7465,0.5546,0.1985
7,1000,6,0.01,3,5,0.22,0.27,0.6948,0.5311,0.1985
25,800,6,0.01,1,6,0.79,0.6,0.7467,0.4951,0.1974
4,1000,6,0.05,3,10,0.5,0.87,0.9661,0.6184,0.1985
4,600,6,0.1,3,6,0.43,0.75,0.9433,0.5955,0.1985
25,600,6,0.08,1,8,0.25,0.08,0.8629,0.5082,0.1974
13,600,6,0.01,2,4,0.21,0.26,0.6071,0.3674,0.2072
4,600,6,0.1,3,8,0.51,0.41,0.9628,0.5963,0.1985
4,1000,6,0.08,2,8,0.15,0.57,0.942,0.4628,0.2072
4,600,6,0.1,1,6,0.13,0.76,0.8907,0.5127,0.1974
7,1000,6,0.08,1,7,0.11,0.74,0.9035,0.4979,0.1974
13,1000,6,0.01,3,6,0.18,0.32,0.6963,0.5298,0.1985
7,600,6,0.01,2,5,0.92,0.77,0.6978,0.3937,0.2072
7,1000,6,0.01,3,8,0.29,0.28,0.7739,0.5643,0.1985
25,1000,6,0.05,2,6,0.94,0.1,0.9108,0.4342,0.2072
7,600,6,0.01,1,8,0.97,0.62,0.7464,0.4878,0.1974
25,600,6,0.05,3,5,0.59,0.8,0.836,0.5848,0.1985
25,1000,6,0.08,1,10,0.79,0.08,0.9686,0.5079,0.1974
25,1000,6,0.05,1,5,0.58,0.37,0.8798,0.5292,0.1974
10,800,6,0.1,1,10,0.88,0.7,0.9855,0.5135,0.1974
7,600,6,0.05,2,6,0.47,0.92,0.9025,0.4438,0.2072
7,1000,6,0.01,3,9,0.82,1.0,0.8281,0.5901,0.1985
13,800,6,0.08,1,9,0.21,0.74,0.9291,0.5208,0.1974
25,800,6,0.05,1,8,0.89,0.07,0.917,0.5188,0.1974
10,1000,6,0.05,1,6,0.11,0.2,0.812,0.495,0.1974
7,800,6,0.1,3,9,0.58,0.5,0.98,0.6058,0.1985
13,1000,6,0.05,1,7,0.18,0.06,0.8425,0.4889,0.1974
10,600,6,0.08,2,6,0.45,0.9,0.9278,0.4432,0.2072
7,600,6,0.01,3,5,0.21,0.87,0.6488,0.5102,0.1985
13,1000,6,0.08,3,10,0.4,0.43,0.9679,0.6185,0.1985
4,1000,6,0.05,3,5,0.06,0.93,0.8011,0.5814,0.1985
13,600,6,0.05,1,4,0.53,0.71,0.8102,0.5255,0.1974
4,600,6,0.1,1,8,0.66,0.45,0.9697,0.5184,0.1974
25,1000,6,0.1,3,8,0.2,0.52,0.9101,0.6134,0.1985
25,600,6,0.01,1,6,0.25,0.56,0.6646,0.4699,0.1974
13,1000,6,0.05,3,7,0.81,0.39,0.9441,0.6031,0.1985
13,600,6,0.05,3,9,0.87,0.19,0.9267,0.6043,0.1985
7,800,6,0.08,3,7,0.27,0.92,0.9397,0.5762,0.1985
25,800,6,0.08,1,8,0.57,0.26,0.9496,0.5217,0.1974
25,600,6,0.1,2,9,0.68,0.9,0.9668,0.459,0.2072
10,800,6,0.1,1,5,0.88,0.63,0.9386,0.4976,0.1974
7,600,6,0.05,2,9,0.24,0.73,0.9073,0.4631,0.2072
7,800,6,0.01,2,8,0.24,0.1,0.7271,0.3988,0.2072
7,800,6,0.05,3,5,0.26,0.25,0.8346,0.5758,0.1985
25,800,6,0.1,3,5,0.2,0.56,0.8322,0.5831,0.1985
25,1000,6,0.1,3,10,0.66,0.29,0.9807,0.5954,0.1985
13,600,6,0.01,2,7,0.05,0.27,0.5867,0.364,0.2072
4,600,6,0.1,1,10,0.87,0.36,0.9759,0.504,0.1974
25,1000,6,0.1,3,6,0.72,0.96,0.959,0.591,0.1985
13,1000,6,0.08,2,5,0.51,0.91,0.9326,0.4425,0.2072
7,800,6,0.05,3,7,0.13,0.63,0.8578,0.5928,0.1985
13,800,6,0.08,2,7,0.17,0.17,0.8764,0.4507,0.2072
25,600,6,0.05,1,8,0.77,0.58,0.9123,0.5292,0.1974
10,600,6,0.05,3,4,0.64,0.78,0.8128,0.5783,0.1985
10,1000,6,0.01,3,10,0.86,0.34,0.8202,0.5871,0.1985
4,1000,6,0.05,1,6,0.32,0.14,0.9021,0.5145,0.1974
7,1000,6,0.1,2,10,0.15,0.22,0.947,0.4489,0.2072
10,800,6,0.1,3,10,0.1,0.62,0.914,0.5996,0.1985
10,600,6,0.05,1,4,0.32,0.36,0.781,0.4893,0.1974
10,800,6,0.01,3,5,0.68,0.66,0.7123,0.5436,0.1985
25,800,6,0.08,1,5,0.59,0.37,0.8956,0.5034,0.1974
25,600,6,0.01,3,6,0.42,0.08,0.6459,0.4944,0.1985
10,600,6,0.01,1,7,0.51,0.9,0.7402,0.4898,0.1974
25,600,6,0.08,3,9,0.21,0.79,0.8851,0.6108,0.1985
4,1000,6,0.08,2,7,0.07,0.31,0.8928,0.433,0.2072
25,1000,6,0.08,1,5,0.54,0.75,0.9177,0.5184,0.1974
10,800,6,0.01,1,6,0.53,0.49,0.7436,0.4903,0.1974
4,600,6,0.1,1,8,0.83,0.09,0.9587,0.5261,0.1974
10,800,6,0.08,2,10,0.78,0.88,0.9813,0.4302,0.2072
7,600,6,0.05,2,6,0.44,0.41,0.8912,0.4669,0.2072
25,600,6,0.05,1,9,0.32,0.47,0.8862,0.5149,0.1974
13,1000,6,0.1,3,8,0.24,0.26,0.9378,0.5843,0.1985
4,1000,6,0.01,2,6,0.9,0.78,0.7854,0.4401,0.2072
7,600,6,0.05,1,7,0.89,0.93,0.9165,0.5281,0.1974
13,1000,6,0.08,2,8,0.32,0.08,0.9336,0.456,0.2072
4,600,6,0.1,2,4,0.56,0.97,0.8938,0.4751,0.2072
7,600,6,0.01,3,4,0.54,0.27,0.6201,0.4983,0.1985
4,1000,6,0.05,3,8,0.75,0.32,0.9579,0.6102,0.1985
7,800,6,0.08,1,8,0.96,0.56,0.9727,0.5235,0.1974
4,600,6,0.01,3,8,0.65,0.89,0.7419,0.5508,0.1985
13,1000,6,0.05,2,10,0.85,0.81,0.9707,0.4231,0.2072
7,800,6,0.01,3,9,0.51,0.95,0.7908,0.5703,0.1985
25,800,6,0.01,1,10,0.3,0.3,0.7524,0.4817,0.1974
7,600,6,0.1,1,5,0.91,0.64,0.9219,0.5225,0.1974
25,800,6,0.08,1,4,0.69,0.33,0.8649,0.5289,0.1974
10,800,6,0.1,2,6,0.38,0.81,0.9462,0.4266,0.2072
25,800,6,0.1,1,10,0.35,1.0,0.9603,0.5041,0.1974
7,800,6,0.1,2,10,0.82,0.36,0.9852,0.4232,0.2072
7,1000,6,0.01,3,5,0.11,0.89,0.6701,0.5167,0.1985
25,800,6,0.08,2,8,0.62,0.44,0.9571,0.456,0.2072
10,600,6,0.1,3,10,0.12,0.11,0.8831,0.6004,0.1985
25,800,6,0.05,3,8,0.11,0.52,0.7918,0.5775,0.1985
10,600,6,0.1,2,9,0.5,0.99,0.9725,0.4359,0.2072
7,1000,6,0.01,1,5,0.6,0.08,0.7065,0.4726,0.1974
10,600,6,0.1,2,9,0.65,0.32,0.972,0.4228,0.2072
10,600,6,0.05,2,9,0.1,0.71,0.8325,0.4411,0.2072
4,1000,6,0.08,2,6,0.6,0.58,0.9671,0.4423,0.2072
4,600,6,0.08,2,7,1.0,0.57,0.9593,0.4608,0.2072
10,1000,6,0.01,3,5,0.6,0.53,0.7379,0.5513,0.1985
10,800,6,0.1,2,6,0.95,0.99,0.967,0.3805,0.2072
7,800,6,0.05,1,6,0.73,0.44,0.9166,0.5314,0.1974
4,1000,6,0.01,3,6,0.06,0.21,0.6563,0.497,0.1985
7,1000,6,0.05,2,7,0.61,0.44,0.9542,0.4508,0.2072
25,1000,6,0.05,1,8,0.61,0.67,0.946,0.5196,0.1974
13,600,6,0.01,3,7,0.06,0.84,0.5915,0.4732,0.1985
7,800,6,0.05,1,4,0.96,0.91,0.8429,0.5136,0.1974
10,1000,6,0.08,2,5,0.78,0.7,0.9435,0.4406,0.2072
7,600,6,0.08,1,10,0.75,0.62,0.9704,0.5255,0.1974
25,1000,6,0.01,3,7,0.7,0.44,0.7799,0.5674,0.1985
4,1000,6,0.01,2,4,0.79,0.12,0.6833,0.3943,0.2072
25,1000,6,0.1,2,6,0.47,0.36,0.9365,0.4766,0.2072
10,600,6,0.05,1,10,0.35,0.51,0.9197,0.5173,0.1974
4,800,6,0.1,1,7,0.4,0.78,0.9668,0.5205,0.1974
4,600,6,0.05,3,10,0.55,0.59,0.9379,0.6118,0.1985
4,1000,6,0.05,2,4,0.46,0.99,0.8772,0.4466,0.2072
7,1000,6,0.08,1,10,0.65,0.73,0.9851,0.5181,0.1974
7,600,6,0.05,1,5,0.42,0.69,0.8572,0.5209,0.1974
7,800,6,0.01,1,8,0.11,0.91,0.7164,0.4712,0.1974
13,1000,6,0.1,2,8,0.07,0.85,0.8761,0.4586,0.2072
13,800,6,0.01,3,6,0.45,0.41,0.7222,0.5407,0.1985
4,1000,6,0.1,1,5,0.07,0.52,0.8653,0.4975,0.1974
10,600,6,0.08,3,10,0.19,0.63,0.9201,0.6114,0.1985
7,800,6,0.05,2,4,0.5,0.74,0.8517,0.4742,0.2072
25,800,6,0.05,2,4,0.67,0.17,0.8163,0.4492,0.2072
25,1000,6,0.05,2,7,0.9,0.06,0.9181,0.4314,0.2072
13,1000,6,0.01,2,5,0.53,0.14,0.7157,0.4135,0.2072
25,1000,6,0.08,3,5,0.13,0.68,0.804,0.5816,0.1985
25,600,6,0.08,1,7,0.91,0.95,0.9379,0.5285,0.1974
10,800,6,0.1,2,6,0.87,0.16,0.9573,0.4258,0.2072
10,1000,6,0.05,1,8,0.29,0.91,0.9339,0.5306,0.1974
10,1000,6,0.05,1,5,0.7,0.09,0.8834,0.529,0.1974
7,800,6,0.05,1,4,0.18,0.4,0.7809,0.4854,0.1974
10,800,6,0.05,1,9,0.76,0.41,0.954,0.5277,0.1974
10,1000,6,0.05,2,8,0.89,0.38,0.9599,0.4619,0.2072
4,1000,6,0.08,2,4,0.54,0.99,0.9155,0.4718,0.2072
25,1000,6,0.1,2,7,0.43,0.46,0.9505,0.4554,0.2072
13,600,6,0.1,3,7,0.14,0.24,0.8555,0.5743,0.1985
4,1000,6,0.01,3,5,0.23,0.92,0.7147,0.5381,0.1985
4,1000,6,0.01,2,5,0.05,0.17,0.6307,0.3785,0.2072
10,1000,6,0.05,1,9,0.15,0.63,0.9029,0.5205,0.1974
13,600,6,0.08,3,10,0.22,0.96,0.9257,0.6278,0.1985
25,600,6,0.05,3,6,0.23,0.33,0.7936,0.5738,0.1985
