leaves,trees,FP_type,learn_rate,state,accuracy_train,accuracy_test,actual_test_size
8,400,3,0.04,3,0.7126,0.4884,0.1825
8,100,3,0.02,2,0.4337,0.3772,0.1938
8,1200,3,0.4,3,0.9515,0.3122,0.1825
4,400,3,0.14,1,0.8474,0.4152,0.1866
10,1600,3,0.8,1,0.9566,0.0307,0.1866
10,600,3,0.8,3,0.9551,0.2085,0.1825
6,800,3,0.6,2,0.9469,0.2394,0.1938
4,1600,3,0.14,3,0.9312,0.416,0.1825
6,500,3,0.04,2,0.7382,0.4897,0.1938
6,800,3,0.12,2,0.8846,0.4247,0.1938
6,100,3,0.12,2,0.6805,0.478,0.1938
10,400,3,0.8,1,0.9416,0.1342,0.1866
6,1400,3,0.1,3,0.9085,0.4548,0.1825
6,300,3,0.2,2,0.8571,0.444,0.1938
8,800,3,0.2,2,0.9053,0.4038,0.1938
8,400,3,0.8,1,0.9421,0.2177,0.1866
6,600,3,0.04,3,0.7529,0.5081,0.1825
4,200,3,0.06,1,0.6817,0.4243,0.1866
8,400,3,0.12,2,0.8317,0.4687,0.1938
6,200,3,0.14,3,0.7791,0.4973,0.1825
8,1600,3,0.6,2,0.9549,0.1871,0.1938
4,500,3,0.2,1,0.8936,0.3924,0.1866
8,1400,3,0.02,3,0.7759,0.5092,0.1825
10,500,3,0.12,2,0.8436,0.4675,0.1938
8,1000,3,0.12,3,0.8956,0.4682,0.1825
8,1400,3,0.08,2,0.8851,0.4217,0.1938
8,600,3,0.12,3,0.8641,0.4889,0.1825
8,100,3,0.02,1,0.4375,0.2957,0.1866
8,500,3,0.06,3,0.7877,0.516,0.1825
6,1600,3,0.14,3,0.9275,0.435,0.1825
10,600,3,0.8,1,0.9484,0.1078,0.1866
8,1400,3,0.4,1,0.9484,0.2064,0.1866
4,200,3,0.06,2,0.6736,0.4903,0.1938
6,1400,3,0.02,3,0.7762,0.5105,0.1825
6,500,3,0.02,3,0.6582,0.4768,0.1825
4,1200,3,0.08,3,0.8881,0.4867,0.1825
4,1400,3,0.6,1,0.9551,0.1613,0.1866
8,100,3,0.6,3,0.8552,0.4025,0.1825
6,1200,3,0.8,2,0.9561,0.1132,0.1938
4,1200,3,0.6,3,0.9598,0.2752,0.1825
10,300,3,0.08,2,0.7629,0.4877,0.1938
10,500,3,0.04,1,0.7457,0.4264,0.1866
8,1200,3,0.8,3,0.9618,0.1322,0.1825
6,800,3,0.08,1,0.8576,0.4335,0.1866
4,600,3,0.2,3,0.9081,0.4364,0.1825
8,100,3,0.14,2,0.6993,0.4739,0.1938
10,1000,3,0.2,2,0.9124,0.3732,0.1938
6,1000,3,0.08,1,0.8732,0.4276,0.1866
6,500,3,0.14,2,0.8616,0.4433,0.1938
6,100,3,0.4,1,0.8273,0.3906,0.1866
8,600,3,0.4,3,0.9355,0.38,0.1825
4,100,3,0.6,1,0.8686,0.3383,0.1866
10,1600,3,0.6,2,0.9543,0.2267,0.1938
6,100,3,0.02,1,0.4381,0.3012,0.1866
4,200,3,0.12,3,0.7564,0.5077,0.1825
10,1400,3,0.8,3,0.962,0.1372,0.1825
4,800,3,0.2,2,0.9121,0.3969,0.1938
8,500,3,0.04,3,0.7409,0.4965,0.1825
8,400,3,0.4,1,0.9176,0.3194,0.1866
10,800,3,0.04,3,0.7897,0.506,0.1825
4,500,3,0.14,1,0.8654,0.4155,0.1866
10,1600,3,0.2,3,0.935,0.3867,0.1825
4,1000,3,0.4,2,0.943,0.3025,0.1938
8,1200,3,0.12,1,0.9066,0.3661,0.1866
10,200,3,0.08,1,0.717,0.4159,0.1866
4,500,3,0.04,2,0.7402,0.4914,0.1938
4,500,3,0.06,3,0.7889,0.5121,0.1825
6,1600,3,0.1,2,0.9075,0.3939,0.1938
10,200,3,0.1,1,0.7428,0.4125,0.1866
10,100,3,0.2,3,0.733,0.4695,0.1825
8,1400,3,0.6,1,0.9541,0.1628,0.1866
8,500,3,0.02,1,0.6626,0.4165,0.1866
6,300,3,0.08,1,0.7694,0.425,0.1866
6,1600,3,0.6,3,0.9616,0.2356,0.1825
8,500,3,0.6,3,0.9456,0.3033,0.1825
6,1000,3,0.14,1,0.9062,0.3669,0.1866
8,800,3,0.8,3,0.9593,0.1739,0.1825
8,1400,3,0.08,3,0.8948,0.4819,0.1825
6,100,3,0.14,2,0.696,0.4785,0.1938
8,1000,3,0.14,1,0.9043,0.3844,0.1866
6,400,3,0.4,2,0.9136,0.3692,0.1938
4,500,3,0.4,2,0.9248,0.3496,0.1938
10,800,3,0.1,1,0.868,0.409,0.1866
10,800,3,0.1,2,0.8647,0.4394,0.1938
10,300,3,0.08,2,0.7629,0.4877,0.1938
4,500,3,0.12,1,0.8508,0.4332,0.1866
4,1000,3,0.02,3,0.7396,0.5061,0.1825
6,1200,3,0.8,2,0.9561,0.1132,0.1938
6,1400,3,0.14,1,0.9211,0.3486,0.1866
4,200,3,0.04,1,0.6265,0.402,0.1866
8,600,3,0.4,2,0.9278,0.2992,0.1938
8,1200,3,0.4,2,0.9436,0.2495,0.1938
4,1000,3,0.12,3,0.9022,0.4843,0.1825
6,1200,3,0.12,1,0.9087,0.3571,0.1866
8,1400,3,0.12,2,0.9034,0.3917,0.1938
10,300,3,0.12,2,0.8023,0.4866,0.1938
6,600,3,0.1,3,0.8523,0.4937,0.1825
8,800,3,0.04,3,0.7935,0.5004,0.1825
4,400,3,0.02,1,0.6304,0.4069,0.1866
10,200,4,0.14,1,0.8963,0.4656,0.1928
4,1600,4,0.08,3,0.9802,0.4216,0.2087
10,800,4,0.8,2,0.996,0.1551,0.1753
8,800,4,0.6,1,0.9932,0.32,0.1928
6,600,4,0.8,1,0.9934,0.2596,0.1928
6,100,4,0.1,1,0.7605,0.425,0.1928
8,600,4,0.4,2,0.9924,0.3536,0.1753
8,100,4,0.02,1,0.486,0.3392,0.1928
4,500,4,0.12,1,0.952,0.4121,0.1928
6,800,4,0.12,2,0.9709,0.3973,0.1753
10,200,4,0.4,1,0.9646,0.3998,0.1928
8,300,4,0.02,1,0.6698,0.4097,0.1928
10,400,4,0.2,1,0.964,0.3904,0.1928
