min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
0,0.1,removal,1,1300,0.08,6,0.9441451504786955,0.1368504831648315
3,0.2,removal,3,1600,0.12,6,0.9844268425353851,0.30759703213784606
0,0.1,removal,3,1300,0.08,4,0.8746812761772738,0.17206375770015891
3,0.0,replacement,2,400,0.15,8,0.9511103093758604,0.4060578952911287
1,0.0,replacement,2,600,0.08,8,0.9220218553178261,0.3398538278054801
2,0.25,replacement,1,800,0.12,8,0.9905084198748532,0.12592063707739642
2,0.25,replacement,2,800,0.1,4,0.9183714184612768,0.28567561579107015
0,0.25,removal,1,1300,0.05,10,0.9377366186943852,0.11286372951281398
2,0.0,removal,1,800,0.05,4,0.8110751935310354,0.2517993807831276
1,0.0,removal,1,600,0.12,4,0.8495209944141106,0.242009258560402
3,0.0,removal,2,400,0.08,4,0.7749128909136686,0.46392421424606634
0,0.2,replacement,3,1300,0.1,10,0.9921573757329104,0.27115604699851537
0,0.1,replacement,1,1300,0.15,4,0.9694330555517606,0.17200727461935217
3,0.1,replacement,1,400,0.1,8,0.9670501058644595,0.3285580490696808
0,0.0,removal,3,1600,0.08,10,0.962629357346275,0.07322639439701473
0,0.0,removal,3,400,0.08,6,0.8451663579832462,0.28850246588842077
3,0.0,replacement,1,1600,0.05,6,0.9603773903396801,0.2256327314571991
0,0.25,replacement,3,600,0.08,8,0.9537624160928562,0.27437243126356325
1,0.2,removal,2,600,0.05,10,0.8983122625887056,0.3560912162945655
2,0.25,replacement,1,1600,0.12,10,0.9983374641143977,0.14265462801509932
1,0.25,replacement,3,800,0.15,8,0.9922774559567284,0.262499033657687
2,0.0,removal,1,1000,0.15,4,0.9314719016858084,0.16855269476711698
3,0.0,removal,1,400,0.1,6,0.9186074224292088,0.2340927837768192
3,0.1,removal,2,600,0.15,10,0.9706142729722351,0.3592112337748521
2,0.2,removal,2,1600,0.08,4,0.9193973813676625,0.22890192229183548
2,0.1,removal,1,600,0.15,4,0.8969000118874598,0.1940561950820181
0,0.1,replacement,3,600,0.1,4,0.8857280366133664,0.3435649709292877
2,0.2,replacement,1,400,0.08,6,0.9159384642542182,0.19774952672172108
1,0.25,removal,2,800,0.1,6,0.9445664130756306,0.30561672616889635
2,0.25,removal,1,1600,0.12,4,0.9482366532398099,0.08522861375273161
1,0.2,removal,3,600,0.12,8,0.9518385400612256,0.1910647049604619
1,0.1,removal,2,1300,0.08,4,0.8897501504572458,0.3487797321367072
0,0.1,replacement,3,1000,0.15,10,0.995005683007594,0.2836994208874527
0,0.1,replacement,3,1300,0.05,8,0.9733231735750522,0.3175282010542825
0,0.2,removal,1,600,0.1,6,0.9139874839402993,0.17154251737939918
3,0.1,replacement,3,400,0.08,4,0.8215086370759034,0.3781295845215812
2,0.1,replacement,2,400,0.15,10,0.9815787342402611,0.2879207329166259
3,0.2,replacement,1,600,0.12,8,0.9876380591966714,0.3286429138666307
