min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,max_depth,accuracy_train,accuracy_test
3,0.1,removal,1,600,10,0.2,2.0,3,0.6790560760291172,0.19721862258830847
2,0.25,replacement,2,1600,7,0.1,1.5,3,0.7195596457727138,-0.016487398395289565
1,0.1,removal,1,200,7,0.1,2.5,12,0.6502744886133174,0.26642518366317913
1,0.1,removal,2,200,7,0.2,2.5,16,0.7240779103204522,0.1796268213396256
0,0.2,removal,1,1300,13,0.2,2.5,7,0.7976758454456938,-0.14484893383016306
1,0.2,removal,2,800,40,0.15,1.2,12,0.7938435526787384,0.10275429949941617
0,0.1,removal,3,400,10,0.15,1.5,3,0.5942641765007688,0.2931429464609201
3,0.25,replacement,2,800,7,0.15,2.5,12,0.8438329592061171,0.12444501057617219
3,0.1,replacement,1,800,13,0.05,1.5,7,0.7595281109891546,0.21731660225769467
1,0.25,replacement,3,1600,7,0.05,2.5,3,0.6349515536549262,0.13900191017209806
3,0.25,removal,2,600,40,0.05,2.0,3,0.5534494830409667,0.16934073142799122
0,0.2,removal,2,1300,13,0.2,2.0,7,0.8160553881183967,0.013960668102060536
1,0.1,removal,2,1600,13,0.2,2.5,12,0.8238807036861231,0.05876645524406765
2,0.1,replacement,3,400,7,0.01,1.2,3,0.35250731939199587,0.10698899051820121
3,0.0,replacement,1,800,7,0.2,2.5,12,0.8023277790540628,0.1713585772436238
3,0.0,replacement,2,1000,4,0.1,1.0,16,0.7846833287689368,0.10409115111104272
1,0.25,replacement,1,800,10,0.15,2.5,3,0.6754625996872734,0.1517123164544566
3,0.0,replacement,2,400,7,0.1,1.0,7,0.7271734462995003,0.12167997407293552
3,0.0,removal,2,1600,10,0.01,1.2,16,0.6652038818880521,0.14491866474752613
3,0.25,replacement,1,1000,7,0.2,1.2,12,0.8520173613460089,0.17754030895763906
3,0.1,replacement,3,800,13,0.1,1.0,3,0.6818246660452272,0.13267386402645964
0,0.2,replacement,1,800,40,0.01,2.5,7,0.4924721006698274,0.1313314420939753
1,0.1,replacement,1,400,4,0.2,2.5,12,0.8026078063244799,0.07712050063483222
3,0.2,removal,1,600,40,0.05,2.0,3,0.5663677819925044,0.23089334679524387
3,0.25,replacement,3,400,13,0.01,2.0,3,0.3583608976980479,0.18574686360852388
2,0.0,removal,2,600,10,0.15,2.5,16,0.7813566678035114,0.025526607646486732
2,0.25,removal,2,1600,13,0.05,1.0,3,0.6415089399281573,0.032321146040893645
