leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,1000,6,0.05,2,7,0.97,0.96,0.9347,0.4051,0.2072
13,1000,6,0.1,3,5,0.17,0.59,0.8533,0.5552,0.1985
25,800,6,0.01,1,5,0.21,0.66,0.6281,0.4796,0.1974
25,600,6,0.08,1,7,0.12,0.3,0.7817,0.5109,0.1974
25,1000,6,0.05,1,5,0.58,0.47,0.8707,0.5443,0.1974
7,1000,6,0.01,2,6,0.56,0.75,0.7729,0.4148,0.2072
13,1000,6,0.01,3,4,0.35,0.76,0.6613,0.5086,0.1985
25,600,6,0.1,2,10,0.88,0.72,0.9709,0.3907,0.2072
25,600,6,0.1,2,6,0.96,0.08,0.9121,0.4187,0.2072
13,600,6,0.1,1,8,0.92,0.93,0.9644,0.5383,0.1974
10,1000,6,0.05,2,4,0.13,0.89,0.7646,0.4332,0.2072
7,600,6,0.05,2,8,0.27,0.79,0.8975,0.4358,0.2072
25,800,6,0.01,2,4,0.45,0.68,0.643,0.3728,0.2072
4,800,6,0.1,2,6,0.99,0.51,0.9624,0.4228,0.2072
13,600,6,0.08,1,4,0.19,0.55,0.7697,0.5228,0.1974
7,1000,6,0.1,3,7,0.88,0.67,0.9806,0.5573,0.1985
25,1000,6,0.1,1,4,0.06,0.13,0.6956,0.4908,0.1974
10,1000,6,0.01,1,4,0.9,0.27,0.6636,0.5025,0.1974
25,800,6,0.05,3,4,0.74,0.85,0.8172,0.5533,0.1985
10,600,6,0.01,3,9,0.92,0.6,0.7235,0.5272,0.1985
25,600,6,0.1,3,8,0.24,0.55,0.8838,0.6067,0.1985
13,800,6,0.05,1,8,0.57,1.0,0.938,0.5313,0.1974
10,1000,6,0.05,2,9,0.43,0.75,0.9541,0.4305,0.2072
7,1000,6,0.01,1,9,0.2,0.96,0.7672,0.522,0.1974
25,1000,6,0.08,3,4,0.62,0.88,0.8776,0.5717,0.1985
13,800,6,0.01,1,9,0.2,0.32,0.7091,0.4936,0.1974
13,600,6,0.05,3,4,0.98,0.42,0.7945,0.551,0.1985
4,600,6,0.01,1,8,0.08,0.88,0.6337,0.4798,0.1974
13,600,6,0.1,3,6,0.94,0.17,0.9304,0.5724,0.1985
13,800,6,0.1,1,10,0.63,0.52,0.9782,0.5323,0.1974
13,800,6,0.01,1,4,0.57,0.81,0.6453,0.4952,0.1974
4,1000,6,0.01,2,5,0.65,0.99,0.7421,0.41,0.2072
13,800,6,0.1,3,4,0.76,0.33,0.8924,0.5583,0.1985
4,800,6,0.05,1,4,0.6,0.18,0.8153,0.5399,0.1974
13,800,6,0.05,1,5,0.56,0.61,0.8717,0.5526,0.1974
7,1000,6,0.05,1,6,0.66,0.83,0.9332,0.5519,0.1974
4,1000,6,0.01,1,6,0.91,0.94,0.7647,0.5394,0.1974
25,1000,6,0.05,2,8,0.64,0.55,0.9395,0.4303,0.2072
13,800,6,0.05,2,4,0.85,0.46,0.8337,0.4283,0.2072
10,1000,6,0.08,2,7,0.14,0.64,0.8954,0.4727,0.2072
13,800,6,0.08,2,6,0.69,0.05,0.9042,0.4121,0.2072
25,1000,6,0.01,3,10,0.96,0.3,0.8022,0.5581,0.1985
25,600,6,0.05,2,8,0.45,0.39,0.8864,0.4377,0.2072
13,600,6,0.05,3,5,0.96,0.51,0.8411,0.5726,0.1985
4,1000,6,0.1,2,10,0.57,0.6,0.9864,0.4309,0.2072
25,600,6,0.08,2,5,0.92,0.72,0.8813,0.4272,0.2072
10,1000,6,0.08,3,9,0.69,0.09,0.9653,0.5687,0.1985
10,800,6,0.1,2,10,0.16,0.61,0.9341,0.4336,0.2072
7,800,6,0.01,2,10,0.64,0.49,0.7778,0.4057,0.2072
25,600,6,0.01,2,10,0.15,0.89,0.6588,0.3719,0.2072
13,600,6,0.05,1,4,0.73,0.4,0.7894,0.5367,0.1974
25,600,6,0.01,3,6,0.77,0.35,0.6734,0.5005,0.1985
