leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
10,600,6,0.01,2,6,0.49,0.86,0.7049,0.3913,0.2072
13,800,6,0.05,2,4,0.95,0.28,0.8253,0.4379,0.2072
7,600,6,0.01,1,5,0.3,0.23,0.6305,0.4215,0.1974
7,1000,6,0.05,1,4,0.66,0.2,0.8527,0.5169,0.1974
7,600,6,0.08,3,10,0.34,0.29,0.933,0.5731,0.1985
25,1000,6,0.08,1,6,0.55,0.23,0.9182,0.5017,0.1974
7,800,6,0.05,3,7,0.15,0.76,0.8589,0.5654,0.1985
10,1000,6,0.01,1,4,0.83,0.16,0.6673,0.4413,0.1974
13,1000,6,0.01,3,7,0.22,0.27,0.7191,0.5159,0.1985
25,600,6,0.08,2,4,0.3,0.49,0.7833,0.4579,0.2072
13,1000,6,0.01,2,4,0.93,0.3,0.6857,0.4098,0.2072
25,1000,6,0.08,3,9,0.33,0.08,0.9133,0.586,0.1985
7,600,6,0.05,3,9,0.58,0.16,0.9136,0.586,0.1985
25,800,6,0.05,1,10,0.14,0.9,0.8348,0.4982,0.1974
10,600,6,0.08,1,10,0.86,0.16,0.9562,0.506,0.1974
10,800,6,0.05,3,8,0.46,0.94,0.934,0.5886,0.1985
7,1000,6,0.05,1,7,0.14,0.73,0.8698,0.487,0.1974
7,800,6,0.1,2,10,0.48,0.5,0.9785,0.4142,0.2072
25,800,6,0.1,1,4,0.08,0.67,0.7257,0.4339,0.1974
13,800,6,0.08,3,9,0.1,0.33,0.8585,0.578,0.1985
7,600,6,0.01,1,4,0.3,0.98,0.6112,0.4275,0.1974
25,600,6,0.08,3,7,0.84,0.83,0.9314,0.5978,0.1985
25,600,6,0.05,2,7,0.45,0.76,0.874,0.4437,0.2072
10,1000,6,0.05,2,4,0.36,0.91,0.838,0.4495,0.2072
4,1000,6,0.08,3,6,0.36,0.81,0.9472,0.5772,0.1985
25,800,6,0.01,3,4,0.43,0.48,0.6315,0.4845,0.1985
7,600,6,0.01,2,6,0.62,0.75,0.7094,0.3834,0.2072
10,800,6,0.05,3,5,0.14,0.95,0.7934,0.551,0.1985
25,800,6,0.1,1,10,0.87,0.75,0.9818,0.5129,0.1974
13,1000,6,0.1,3,5,0.73,0.76,0.9439,0.5896,0.1985
7,1000,6,0.05,3,4,0.63,0.15,0.84,0.5726,0.1985
25,800,6,0.08,3,8,0.06,0.05,0.7192,0.5118,0.1985
7,800,6,0.1,3,5,0.35,0.94,0.9123,0.5935,0.1985
4,1000,6,0.1,1,4,0.98,0.75,0.9245,0.4848,0.1974
10,800,6,0.01,3,7,0.61,0.42,0.7472,0.5266,0.1985
25,800,6,0.08,2,8,0.67,0.33,0.951,0.461,0.2072
13,1000,6,0.05,2,5,0.36,0.86,0.8707,0.4613,0.2072
13,800,6,0.01,2,9,0.52,0.42,0.7694,0.4094,0.2072
25,600,6,0.05,1,6,0.08,0.89,0.7076,0.471,0.1974
13,600,6,0.1,3,7,0.33,0.54,0.9187,0.5773,0.1985
7,1000,6,0.1,2,10,0.08,0.12,0.9004,0.4087,0.2072
13,600,6,0.01,2,9,0.93,0.36,0.7273,0.3873,0.2072
13,1000,6,0.05,3,5,0.9,0.68,0.8889,0.5908,0.1985
13,1000,6,0.05,2,10,0.41,0.9,0.9549,0.4549,0.2072
7,800,6,0.01,3,6,0.5,0.22,0.7063,0.5132,0.1985
7,1000,6,0.01,2,4,0.81,0.21,0.6786,0.4069,0.2072
