min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,depth,accuracy_train,accuracy_test
3,0.2,replacement,3,1300,7,0.2,1.2,2,0.6569411470591495,0.10309121187631876
2,0.25,removal,2,600,13,0.15,2.0,5,0.6961741358243678,0.035147230322498224
1,0.1,replacement,1,800,40,0.05,2.0,5,0.6182194423582561,0.2620936919864252
3,0.2,removal,1,800,13,0.2,2.0,5,0.734312520158451,0.19979765152475804
2,0.0,replacement,1,1300,4,0.1,2.5,5,0.7041398814533462,0.27058239156240327
1,0.2,replacement,2,1300,7,0.05,1.5,2,0.5097242520027393,0.31672457546857935
3,0.2,removal,2,1000,13,0.05,2.0,2,0.4898575481619326,0.17924035650024572
0,0.2,replacement,2,1000,10,0.2,2.5,7,0.830114611909407,0.1568097585399273
1,0.1,removal,3,1000,10,0.05,2.0,7,0.674207938769068,0.13973048226132645
2,0.25,removal,2,600,13,0.1,1.2,2,0.5108155644315389,0.07684629915092278
0,0.2,replacement,1,1600,4,0.15,1.0,5,0.7740138626262156,-0.005135523608515324
2,0.1,replacement,1,800,10,0.01,2.5,3,0.37258436557932606,0.2562750834325149
0,0.0,removal,2,400,4,0.05,2.0,3,0.4701471369056076,0.1637233576110957
0,0.0,removal,2,400,4,0.1,2.0,3,0.5386098795194489,0.14371108509543096
0,0.1,removal,3,1600,4,0.05,2.0,7,0.6991495273301427,0.2910042758905752
2,0.25,replacement,2,400,10,0.01,2.5,5,0.3618279408104066,0.11511097703885564
0,0.25,removal,2,1300,4,0.15,1.5,7,0.7837177858427322,-0.011069817324283804
1,0.0,replacement,1,1300,10,0.2,1.5,7,0.7793432643863257,0.1813794777712494
2,0.1,removal,2,800,7,0.15,2.0,7,0.7606934638234393,0.004355419185690601
3,0.1,replacement,2,800,7,0.05,1.0,2,0.4915667147507584,0.22866214684185238
2,0.25,replacement,1,400,7,0.05,2.5,7,0.6107526552804794,0.32587423785251657
3,0.25,removal,3,400,13,0.15,2.0,7,0.7348739121457399,0.1378458382208626
3,0.25,removal,2,800,40,0.01,2.0,2,0.3426345627513676,0.2196562817683979
2,0.2,replacement,1,800,7,0.1,1.5,3,0.6079389030309832,0.3194460165106384
0,0.1,removal,1,1600,4,0.15,2.5,5,0.7314919889925806,-0.042183565814888135
3,0.0,removal,3,600,13,0.1,1.0,2,0.5264727503700247,0.16981589010467224
2,0.0,removal,3,600,4,0.05,1.2,2,0.4465638897918802,0.09999148479126219
0,0.2,removal,1,200,10,0.05,2.5,2,0.33768203687286213,0.13647031404731502
0,0.0,removal,2,200,40,0.01,1.5,5,0.309101286138604,0.1728712313354428
2,0.1,removal,2,400,4,0.15,1.2,3,0.572467394146805,0.03238256499384784
0,0.1,removal,1,200,10,0.1,2.0,7,0.5778832495746817,0.09916854307544498
1,0.0,replacement,1,600,40,0.1,2.0,3,0.5390996943494333,0.2642375981301278
1,0.1,removal,2,1300,10,0.2,2.5,7,0.7953164356508612,0.14136488087380583
3,0.1,removal,3,400,10,0.2,1.2,7,0.7558749451370406,0.16400615432813936
1,0.0,replacement,1,1600,10,0.2,1.2,7,0.788466344833714,0.15638311131688687
1,0.0,replacement,1,200,40,0.01,2.0,3,0.23004980085760895,0.21700166991213898
3,0.1,removal,1,200,13,0.01,2.0,3,0.26419389333754395,0.12828417571235906
3,0.25,replacement,1,400,40,0.1,2.0,2,0.4846851504177785,0.2086420755233087
2,0.2,replacement,3,200,4,0.15,2.5,7,0.6619429456833872,0.09809262265689767
2,0.1,removal,2,600,4,0.05,2.5,5,0.5884542377721251,0.07956660566450835
1,0.0,replacement,2,800,7,0.15,2.5,7,0.7536966426073627,0.2172505977468573
2,0.0,removal,1,800,4,0.01,1.2,5,0.44352732269957573,0.31396118728674527
2,0.2,replacement,3,600,10,0.2,2.5,3,0.6410510283902968,0.06537849815186869
3,0.2,replacement,3,400,4,0.05,1.2,2,0.44978868992314136,0.18102758389674234
1,0.25,replacement,1,1000,40,0.05,1.2,2,0.4794228367741439,0.26479535556513234
1,0.25,removal,2,400,10,0.1,1.5,5,0.6140566613916711,0.2889460182617526
3,0.0,replacement,3,1600,13,0.05,2.5,2,0.5450971685143897,0.15500496292463428
1,0.2,removal,1,1000,7,0.1,2.5,2,0.5179825557086273,0.2542731995623041
0,0.2,replacement,1,400,4,0.2,1.2,7,0.7436769590182899,0.05884240126313156
2,0.25,removal,2,400,7,0.05,2.0,5,0.5533113339752918,0.12163652020658178
3,0.25,replacement,3,1300,13,0.05,1.5,3,0.616993827065415,0.1707443359463391
2,0.2,replacement,1,1000,40,0.01,2.0,2,0.35339666888086896,0.25505221491048025
1,0.1,removal,2,400,13,0.05,2.5,5,0.5342283115179944,0.3280750976539102
2,0.1,removal,1,600,4,0.2,1.5,3,0.6202313835714515,0.2880065747413235
2,0.1,replacement,3,1600,4,0.1,2.5,7,0.8172619711504875,0.12221875284845485
0,0.1,removal,1,400,10,0.1,2.5,5,0.5941836332566232,0.07600928440194687
0,0.1,replacement,3,1000,13,0.15,1.5,5,0.7344599110707619,0.23824733875633608
0,0.2,removal,3,400,40,0.15,2.5,3,0.5450067069580976,0.2959120237210574
0,0.25,replacement,2,800,4,0.05,1.5,7,0.6993941399415764,0.18868504212077097
0,0.2,replacement,1,600,7,0.01,2.0,2,0.28347423366435254,0.13166706625426206
3,0.2,removal,3,800,10,0.1,2.5,7,0.7564588801087276,0.10835957931843421
1,0.0,replacement,2,800,7,0.01,2.5,7,0.47434822660521114,0.3262177009599012
0,0.2,replacement,3,1600,7,0.2,1.5,2,0.619452208301229,0.2337925442674753
2,0.0,removal,3,200,40,0.2,2.5,5,0.6145504734878293,0.060007999047231086
1,0.25,removal,2,400,13,0.2,1.0,5,0.6793529195595631,0.2178301424939686
2,0.0,removal,1,600,40,0.1,1.2,7,0.7007821712849268,0.30657092144239073
0,0.0,replacement,2,600,4,0.15,1.5,5,0.6874781803504356,0.10618527001276401
0,0.1,replacement,3,1300,10,0.15,1.0,5,0.7571797158657543,0.2456279634038827
2,0.2,removal,3,1600,40,0.01,2.5,2,0.3973565274972922,0.11648724455136006
2,0.0,replacement,2,1300,13,0.01,2.5,5,0.49506306436826164,0.13720028515565164
3,0.25,replacement,3,1300,7,0.2,1.2,3,0.737176336572001,0.05316833217036576
1,0.25,replacement,2,1600,13,0.01,1.0,5,0.5323087251237537,0.33175520847596685
0,0.2,removal,1,600,7,0.1,1.2,2,0.4874011168971174,0.10869724570549044
0,0.0,replacement,1,400,40,0.05,1.5,2,0.3825225247169163,0.14115979774447862
1,0.1,removal,3,200,40,0.15,1.0,7,0.6330732759902369,0.1343118299860585
1,0.0,removal,1,1600,40,0.2,1.5,5,0.7500982867296216,0.18140464882302698
0,0.0,replacement,2,800,10,0.2,1.5,3,0.6514551154203673,0.07950816002294736
0,0.25,replacement,1,1600,7,0.05,2.5,7,0.7419909611431936,0.04738611562238837
3,0.2,removal,3,1300,7,0.15,1.2,5,0.7674187702627486,0.07363450942054417
1,0.2,removal,1,800,13,0.2,1.5,2,0.5532091683409692,0.22343153812507943
2,0.0,removal,2,1300,40,0.01,2.5,3,0.4221148188058069,0.15712118507087403
0,0.0,removal,2,400,7,0.05,2.0,7,0.5990828380566016,0.17191516584404187
1,0.25,replacement,3,200,4,0.15,2.0,7,0.6488654018826858,0.18637425248663175
0,0.25,replacement,2,200,10,0.05,2.5,7,0.49787809787739845,0.19869565007136647
2,0.0,removal,3,1300,40,0.01,2.5,2,0.3716968676203706,0.11426123919533848
0,0.0,replacement,3,800,13,0.15,1.2,3,0.5971196625185995,0.2587314457936636
2,0.2,replacement,2,1600,10,0.01,2.0,2,0.39722233575365196,0.12206241012265884
3,0.1,replacement,1,400,4,0.05,2.0,3,0.4831741225628021,0.20724862345590322
1,0.0,removal,2,200,10,0.15,1.5,3,0.4963243242459475,0.32299806744612813
0,0.1,replacement,1,600,4,0.1,2.0,3,0.5608176258035891,0.11089813509598145
2,0.25,removal,3,400,13,0.01,2.0,5,0.399030201627359,0.11722458750268938
0,0.2,replacement,1,400,40,0.2,2.5,7,0.7416770114513755,0.0580304615035524
0,0.0,removal,1,1000,4,0.1,1.0,5,0.671452113174956,0.028648185040197283
1,0.25,replacement,3,1000,40,0.2,2.0,2,0.5965485642433082,0.15379026627288583
2,0.1,removal,3,800,4,0.01,1.5,7,0.5106288002131565,0.11711173734955516
0,0.25,replacement,3,1600,4,0.15,2.5,7,0.8162445662752864,0.21111310066325506
3,0.1,removal,1,600,40,0.2,2.0,5,0.7139843449646162,0.18406095865300576
2,0.1,removal,3,200,40,0.05,1.0,7,0.5366978316452895,0.09326315900489923
2,0.2,removal,1,1300,7,0.2,1.0,3,0.6780539576065756,0.26981047103943057
3,0.2,removal,2,1600,40,0.15,1.0,5,0.7574478286969094,0.08679819231993047
3,0.0,removal,3,1600,10,0.1,2.0,3,0.672436717344746,0.15201253188936004
0,0.0,removal,2,200,13,0.15,2.5,2,0.4443937913004663,0.17418179365128794
3,0.0,removal,2,1000,40,0.2,1.5,7,0.7841153338251147,0.1314489547168186
0,0.1,replacement,1,1600,13,0.2,2.5,7,0.8341257481505947,-0.07649577056741164
1,0.25,replacement,1,1300,40,0.01,1.5,2,0.365771274563214,0.26204702962565174
2,0.25,removal,2,800,13,0.05,1.5,2,0.479282356465752,0.09115700937326066
1,0.25,removal,1,200,10,0.05,2.5,7,0.4858476781061005,0.2946283921759153
2,0.0,replacement,2,1300,40,0.05,1.0,3,0.5759469848288432,0.04813934175410428
2,0.0,removal,1,1000,40,0.2,2.0,3,0.6561349781979671,0.2765138200404563
1,0.2,removal,1,400,13,0.2,1.0,2,0.5001239047459918,0.24911629578252248
1,0.2,replacement,3,800,10,0.2,1.5,5,0.7500603049123121,0.1530255187756766
2,0.1,replacement,1,200,7,0.01,2.5,5,0.29033774285460956,0.19730669968789205
1,0.0,replacement,3,1000,7,0.01,1.2,3,0.40222870100121644,0.1760050236006121
1,0.1,replacement,3,1300,7,0.1,2.5,2,0.5633909248067692,0.19031558787055702
2,0.2,removal,3,1300,10,0.05,2.5,5,0.661439082656113,0.030583544865702694
3,0.2,removal,3,600,10,0.15,1.2,2,0.5664107941827852,0.13805075426579472
1,0.0,removal,3,200,40,0.05,1.0,7,0.5237102998563916,0.17081066309509463
0,0.2,replacement,3,1300,7,0.1,1.0,7,0.7815258392004507,0.2672615858219912
2,0.2,replacement,3,1600,13,0.2,2.0,5,0.8113739177974388,0.07592835560141187
3,0.1,replacement,2,400,13,0.01,2.0,2,0.2719463103461224,0.19097561971707377
0,0.1,replacement,3,1600,40,0.01,2.5,3,0.42857000011245483,0.3194829111626283
1,0.2,removal,1,800,10,0.1,1.0,7,0.7139523538838748,0.21529810184650222
0,0.25,replacement,2,1000,40,0.05,1.0,7,0.7245020585914399,0.1901050117061509
3,0.2,replacement,1,400,40,0.15,1.0,5,0.6875776363954023,0.21046240940760574
1,0.25,replacement,3,1600,10,0.15,1.2,7,0.8246361473587343,0.13210400654313692
2,0.2,replacement,1,1600,10,0.1,1.0,2,0.5885493602802587,0.2878499778754151
0,0.0,removal,3,200,7,0.1,1.2,5,0.5233580557202143,0.31695387987591184
0,0.25,removal,3,800,7,0.1,1.5,5,0.6530939270532419,0.3014355646888297
0,0.1,removal,2,1000,40,0.2,2.5,2,0.599638683724967,0.14550216025763751
0,0.1,removal,3,1300,13,0.2,2.0,2,0.5859103244030723,0.24611445444683067
3,0.25,removal,3,800,13,0.2,2.5,2,0.6072049929470079,0.14300111802791926
0,0.25,removal,1,200,7,0.1,2.5,3,0.4530768104356241,0.13013947537158121
2,0.0,replacement,3,1000,40,0.2,1.0,5,0.7373718748572913,0.023214581211529417
1,0.2,replacement,2,1000,10,0.1,1.0,7,0.7863375184757142,0.23903573355647556
0,0.2,removal,1,600,13,0.1,1.0,2,0.4863589219513046,0.09944326219840105
3,0.2,removal,2,400,10,0.05,1.2,7,0.6106084879135043,0.17856808400451063
0,0.25,replacement,1,400,4,0.01,1.0,7,0.41453160201244565,0.15645209766516077
2,0.25,replacement,2,400,40,0.15,1.2,2,0.5163499246970062,0.06943949722641607
1,0.1,removal,2,600,40,0.01,1.2,7,0.46135926760030666,0.31694844606599926
0,0.1,removal,2,200,4,0.05,1.5,2,0.34387775258436204,0.1666637433509447
1,0.2,replacement,3,600,40,0.15,1.2,3,0.6102022683662218,0.17755149722922436
1,0.2,replacement,2,1600,40,0.05,2.0,2,0.5264628627855945,0.3041841375423775
2,0.0,removal,1,200,10,0.1,2.5,2,0.3936393877428236,0.295910788089664
0,0.25,replacement,2,1300,7,0.2,1.0,7,0.8423284990493308,0.13560035702518436
0,0.1,replacement,3,1300,13,0.05,1.0,3,0.5663578925181538,0.2980470274983237
1,0.2,replacement,1,1600,40,0.2,1.0,5,0.802450112682568,0.08269108218897059
3,0.0,removal,1,200,4,0.01,1.0,2,0.23053345731558206,0.11037178175734985
1,0.2,removal,3,600,7,0.05,2.5,2,0.4379021608100703,0.18779089864741083
2,0.1,replacement,1,200,40,0.05,2.5,7,0.5145075683009044,0.3011472025973517
2,0.2,removal,2,1600,40,0.01,1.5,2,0.3945936418621222,0.15993233952446928
0,0.1,replacement,2,400,10,0.05,1.2,5,0.5644869419999565,0.20622841159406113
3,0.25,replacement,3,1000,7,0.15,1.5,2,0.6138045547181722,0.15233394134075062
2,0.25,replacement,1,800,40,0.1,2.5,5,0.7024580416362001,0.3279988564145788
1,0.2,removal,1,1600,40,0.2,2.0,2,0.6020018525449717,0.1929347079341055
2,0.1,removal,3,1600,10,0.2,1.0,7,0.8014964252548591,0.02295413283874037
2,0.0,replacement,3,1000,40,0.2,2.5,3,0.6628383164734428,-0.002869384726078561
1,0.1,removal,1,200,7,0.1,2.5,2,0.3805580597476923,0.2680578392463955
0,0.0,replacement,2,600,40,0.05,1.0,5,0.5938730495310064,0.14251690822871954
3,0.2,removal,3,600,13,0.01,1.0,3,0.3796277560298664,0.2013811856039589
3,0.1,replacement,2,400,10,0.15,1.2,3,0.5963702170605187,0.21015873593379197
1,0.0,replacement,1,800,10,0.1,1.5,3,0.5637481334255714,0.2552807238875916
0,0.1,removal,3,400,13,0.2,2.5,3,0.567617873522472,0.2522162015650572
2,0.2,removal,3,1000,7,0.01,1.2,5,0.48890753752903426,0.1157074139660329
0,0.0,replacement,2,400,7,0.05,1.0,3,0.4733371084735084,0.16505818024069296
2,0.1,replacement,3,200,4,0.15,2.0,2,0.45583250783156215,0.10850384142172653
1,0.2,replacement,1,800,13,0.15,2.5,7,0.7868370852125834,0.14370216464130614
0,0.2,replacement,3,1300,13,0.1,2.5,7,0.7817075939323239,0.2416630129880003
2,0.25,replacement,2,600,10,0.01,1.0,5,0.43151031205207124,0.12049628997561268
1,0.1,replacement,1,200,4,0.2,2.0,7,0.6816085718626596,0.24069633671199298
3,0.0,removal,1,600,40,0.2,2.0,2,0.5709909763810229,0.2298324563543559
1,0.2,removal,3,1300,4,0.01,1.5,2,0.376655161301614,0.18782044777830587
2,0.25,removal,3,200,7,0.15,2.0,2,0.45477280391257524,0.11525545515430069
2,0.25,removal,1,1000,10,0.15,2.0,5,0.7218985011071607,0.2602423120448406
0,0.1,replacement,2,1300,40,0.05,1.0,5,0.6896490018049095,0.18949349321453623
2,0.25,replacement,1,1600,10,0.1,1.0,5,0.7648715416601346,0.2859565853827295
2,0.2,replacement,3,200,4,0.01,1.2,5,0.3042996050971445,0.10571392525900536
3,0.1,replacement,1,800,4,0.2,2.5,5,0.7695738263043491,0.23201898418426392
1,0.1,removal,1,1300,10,0.1,2.0,3,0.6036565681312156,0.24317239076319896
2,0.2,removal,3,600,10,0.15,1.2,5,0.6891080034005116,0.026166382496979335
0,0.1,removal,2,600,10,0.01,1.2,5,0.4230339762423385,0.18219747208090198
2,0.25,removal,3,400,13,0.01,1.5,2,0.2996041686694755,0.09330958098193154
1,0.0,removal,3,800,7,0.1,1.2,2,0.5140797082360151,0.12577172570844974
0,0.25,removal,3,1600,7,0.15,1.2,2,0.5795750566836011,0.24857239820098742
2,0.25,removal,1,1600,4,0.01,2.5,3,0.4445577381271423,0.3127810537375495
0,0.1,replacement,3,600,40,0.01,1.5,3,0.32966081250833046,0.28227863924361285
1,0.0,removal,2,1000,13,0.2,1.0,5,0.7402540961384723,0.1608399897239826
3,0.1,removal,1,1000,40,0.15,1.2,2,0.5885378082840411,0.22520216724582431
3,0.25,replacement,2,1000,40,0.2,2.0,2,0.6223096325754378,0.2113639105024564
3,0.0,replacement,3,800,7,0.2,2.0,7,0.7967226434187045,0.0903597358494489
2,0.2,removal,3,400,7,0.1,1.0,5,0.6205571998561078,0.042419956865431874
0,0.2,replacement,1,800,7,0.1,2.0,2,0.5179053127804475,0.10680535847904138
2,0.25,replacement,2,1600,10,0.15,2.5,3,0.70532940764348,-0.0015156886973457517
2,0.2,removal,2,1000,40,0.15,2.0,2,0.5767817478164801,0.027021946378529282
0,0.2,replacement,3,1300,10,0.15,2.5,2,0.5814049493426736,0.2444681012626545
0,0.2,replacement,3,200,40,0.01,1.5,5,0.27785614103842526,0.2599181277532019
2,0.0,removal,3,200,10,0.15,1.2,3,0.5114084027851735,0.09777674179541274
1,0.2,replacement,3,200,10,0.15,1.5,7,0.6539605167976104,0.18523579140828061
