iter	Passed	Remaining
781	6311	3373
782	6316	3363
783	6323	3355
784	6331	3347
785	6340	3339
786	6350	3332
787	6356	3323
788	6364	3315
789	6369	3305
790	6378	3298
791	6386	3290
792	6399	3284
793	6406	3276
794	6414	3267
795	6425	3261
796	6432	3252
797	6438	3243
798	6445	3234
799	6451	3225
800	6457	3216
801	6462	3207
802	6467	3197
803	6471	3187
804	6476	3177
805	6481	3168
806	6487	3159
807	6495	3151
808	6501	3142
809	6513	3136
810	6518	3126
811	6525	3118
812	6530	3108
813	6537	3099
814	6543	3091
815	6549	3082
816	6556	3073
817	6561	3064
818	6567	3055
819	6573	3046
820	6577	3036
821	6582	3027
822	6589	3018
823	6597	3010
824	6600	3000
825	6605	2990
826	6617	2984
827	6626	2977
828	6630	2967
829	6635	2957
830	6640	2948
831	6648	2940
832	6659	2934
833	6664	2924
834	6674	2917
835	6683	2910
836	6687	2900
837	6693	2891
838	6701	2883
839	6710	2875
840	6717	2867
841	6729	2861
842	6734	2851
843	6739	2842
844	6746	2834
845	6751	2825
846	6756	2815
847	6761	2806
848	6770	2799
849	6775	2789
850	6786	2783
851	6791	2773
852	6794	2764
853	6804	2756
854	6810	2748
855	6820	2740
856	6824	2731
857	6832	2723
858	6839	2715
859	6846	2706
860	6849	2697
861	6853	2687
862	6860	2679
863	6866	2670
864	6870	2660
865	6874	2651
866	6879	2642
867	6885	2633
868	6892	2625
869	6900	2617
870	6905	2608
871	6910	2599
872	6918	2591
873	6923	2582
874	6929	2573
875	6939	2566
876	6946	2558
877	6953	2549
878	6958	2541
879	6962	2531
880	6969	2523
881	6978	2516
882	6982	2506
883	6987	2497
884	6995	2490
885	7004	2482
886	7012	2474
887	7020	2466
888	7029	2459
889	7039	2452
890	7047	2444
891	7052	2435
892	7059	2426
893	7068	2419
894	7074	2410
895	7080	2402
896	7088	2394
897	7094	2385
898	7106	2379
899	7110	2370
900	7115	2361
901	7121	2352
902	7127	2344
903	7133	2335
904	7143	2328
905	7151	2320
906	7156	2311
907	7162	2303
908	7168	2294
909	7174	2286
910	7179	2277
911	7187	2269
912	7195	2262
913	7203	2254
914	7208	2245
915	7212	2236
916	7216	2227
917	7228	2220
918	7233	2211
919	7246	2205
920	7251	2196
921	7264	2190
922	7269	2181
923	7274	2172
924	7282	2165
925	7289	2156
926	7294	2148
927	7300	2139
928	7307	2131
929	7315	2123
930	7323	2116
931	7328	2107
932	7341	2100
933	7348	2092
934	7355	2084
935	7360	2075
936	7371	2069
937	7377	2060
938	7390	2054
939	7400	2047
940	7410	2039
941	7415	2030
942	7423	2023
943	7428	2014
944	7435	2006
945	7440	1997
946	7448	1989
947	7454	1981
948	7464	1974
949	7470	1966
950	7478	1958
951	7491	1951
952	7494	1942
953	7498	1933
954	7501	1924
955	7505	1915
956	7514	1908
957	7525	1901
958	7531	1892
959	7536	1884
960	7540	1875
961	7548	1867
962	7554	1859
963	7560	1850
964	7570	1843
965	7577	1835
966	7584	1827
967	7596	1820
968	7602	1812
969	7608	1804
970	7614	1795
971	7617	1786
972	7624	1778
973	7627	1769
974	7636	1762
975	7644	1754
976	7649	1745
977	7653	1737
978	7660	1729
979	7666	1721
980	7670	1712
981	7674	1703
982	7683	1696
983	7690	1688
984	7696	1679
985	7705	1672
986	7711	1664
987	7718	1656
988	7726	1648
989	7733	1640
990	7745	1633
991	7752	1625
992	7762	1618
993	7765	1609
994	7771	1601
995	7778	1593
996	7784	1585
997	7790	1576
998	7794	1568
999	7800	1560
1000	7810	1552
1001	7821	1545
1002	7827	1537
1003	7831	1528
1004	7840	1521
1005	7852	1514
1006	7857	1506
1007	7863	1497
1008	7871	1489
1009	7877	1481
1010	7882	1473
1011	7886	1465
1012	7890	1456
1013	7894	1448
1014	7903	1440
1015	7910	1432
1016	7917	1424
1017	7923	1416
1018	7930	1408
1019	7933	1400
1020	7943	1392
1021	7949	1384
1022	7953	1376
1023	7960	1368
1024	7967	1360
1025	7980	1353
1026	7987	1345
1027	7993	1337
1028	8004	1330
1029	8013	1322
1030	8018	1314
1031	8022	1306
1032	8030	1298
1033	8036	1290
1034	8046	1282
1035	8053	1274
1036	8061	1267
1037	8066	1258
1038	8070	1250
1039	8083	1243
1040	8090	1235
1041	8101	1228
1042	8104	1219
1043	8109	1211
1044	8119	1204
1045	8123	1196
1046	8132	1188
1047	8136	1180
1048	8144	1172
1049	8155	1165
1050	8159	1156
1051	8168	1149
1052	8173	1141
1053	8179	1133
1054	8186	1125
1055	8189	1116
1056	8195	1108
1057	8200	1100
1058	8207	1092
1059	8213	1084
1060	8219	1076
1061	8224	1068
1062	8234	1061
1063	8246	1054
1064	8256	1046
1065	8263	1038
1066	8273	1031
1067	8277	1023
1068	8281	1014
1069	8288	1007
1070	8296	999
1071	8302	991
1072	8308	983
1073	8314	975
1074	8321	967
1075	8325	959
1076	8333	951
1077	8338	943
1078	8347	936
1079	8351	927
1080	8361	920
1081	8368	912
1082	8372	904
1083	8377	896
1084	8383	888
1085	8391	880
1086	8397	872
1087	8405	865
1088	8411	857
1089	8421	849
1090	8428	842
1091	8436	834
1092	8440	826
1093	8447	818
1094	8451	810
1095	8456	802
1096	8463	794
1097	8467	786
1098	8477	779
1099	8482	771
1100	8487	763
1101	8490	755
1102	8494	747
1103	8500	739
1104	8505	731
1105	8510	723
1106	8519	715
1107	8525	707
1108	8531	700
1109	8538	692
1110	8544	684
1111	8548	676
1112	8551	668
1113	8562	661
1114	8570	653
1115	8578	645
1116	8582	637
1117	8589	629
1118	8592	622
1119	8598	614
1120	8602	606
1121	8607	598
1122	8613	590
1123	8621	582
1124	8626	575
1125	8632	567
1126	8639	559
1127	8643	551
1128	8651	544
1129	8662	536
1130	8666	528
1131	8670	520
1132	8679	513
1133	8689	505
1134	8694	497
1135	8698	490
1136	8708	482
1137	8713	474
1138	8722	467
1139	8727	459
1140	8734	451
1141	8749	444
1142	8754	436
1143	8759	428
1144	8763	420
1145	8770	413
1146	8776	405
1147	8786	398
1148	8791	390
1149	8796	382
1150	8801	374
1151	8810	367
1152	8816	359
1153	8822	351
1154	8825	343
1155	8829	336
1156	8836	328
1157	8841	320
1158	8853	313
1159	8857	305
1160	8863	297
1161	8867	289
1162	8874	282
1163	8879	274
1164	8883	266
1165	8890	259
1166	8894	251
1167	8904	243
1168	8908	236
1169	8917	228
1170	8921	220
1171	8928	213
1172	8934	205
1173	8938	197
1174	8942	190
1175	8947	182
1176	8953	174
1177	8961	167
1178	8967	159
1179	8972	152
1180	8979	144
1181	8990	136
1182	8997	129
1183	9001	121
1184	9005	113
1185	9014	106
1186	9021	98
1187	9026	91
1188	9035	83
1189	9043	75
1190	9048	68
1191	9052	60
1192	9056	53
1193	9060	45
1194	9068	37
1195	9075	30
1196	9080	22
1197	9085	15
1198	9093	7
1199	9100	0
