leaves,trees,FP_type,state,accuracy_train,accuracy_test
4.0,100.0,11.0,3.0,0.7401974046907218,0.5084248280101995
10.0,200.0,8.0,1.0,0.5130263521621327,0.5079894551114703
8.0,400.0,0.0,3.0,0.785865846745593,0.5075722040364259
8.0,400.0,0.0,3.0,0.785865846745593,0.5075722040364258
10.0,600.0,8.0,1.0,0.5129106421292775,0.5064790836354918
4.0,150.0,3.0,1.0,0.5458806976134782,0.5049913901663776
4.0,500.0,3.0,1.0,0.5386295091333997,0.504984748872907
10.0,500.0,8.0,1.0,0.513364220987211,0.5048470877272369
10.0,1000.0,8.0,1.0,0.5127054552760899,0.504692987914378
4.0,400.0,3.0,1.0,0.5378500013422993,0.5045309007644838
4.0,400.0,3.0,1.0,0.5378500013422993,0.5045309007644838
4.0,400.0,3.0,1.0,0.5378500013422992,0.5045309007644837
8.0,150.0,0.0,3.0,0.787344021867967,0.5044244645931812
4.0,800.0,3.0,1.0,0.5383607095284819,0.5036205131672162
4.0,900.0,3.0,1.0,0.5377930267617865,0.5031306276379419
4.0,900.0,3.0,1.0,0.5377930267617865,0.5031306276379417
4.0,500.0,11.0,3.0,0.7491863098078353,0.5022552334677292
4.0,600.0,10.0,3.0,0.7494060765820237,0.5014029350581655
4.0,600.0,11.0,3.0,0.7494060765820236,0.5014029350581655
8.0,400.0,12.0,3.0,0.737165674909549,0.49810764087901616
4.0,50.0,3.0,1.0,0.5479225682998441,0.49675996101637865
8.0,500.0,12.0,3.0,0.7367055448879425,0.496664329007233
4.0,900.0,10.0,3.0,0.7498539320378187,0.4966445996409443
4.0,900.0,11.0,3.0,0.7498539320378187,0.4966445996409443
8.0,1000.0,12.0,3.0,0.7366573368842624,0.49592257308984655
8.0,900.0,12.0,3.0,0.736531485317371,0.4958447616062045
4.0,800.0,11.0,3.0,0.7496152588604355,0.49455796983685896
10.0,800.0,5.0,3.0,0.6214810686953849,0.49257594520685466
10.0,250.0,5.0,3.0,0.6171712196851618,0.486495348396524
