leaves,trees,FP_type,state,accuracy_train,accuracy_test
8.0,600.0,12.0,1.0,0.7588208544125867,0.5217136941917397
8.0,800.0,12.0,1.0,0.7593769348162763,0.5216143163125888
6.0,500.0,6.0,1.0,0.7761646184356518,0.521152342948294
10.0,400.0,4.0,2.0,0.591556695430206,0.5209679254765103
10.0,300.0,4.0,2.0,0.5901763338105872,0.520834356378541
10.0,700.0,4.0,2.0,0.5900584156564807,0.5208342971787671
4.0,200.0,10.0,2.0,0.7644519789546228,0.520445835800965
4.0,200.0,10.0,2.0,0.7644519789546228,0.5204458358009647
10.0,500.0,1.0,3.0,0.6341537594897557,0.5204248567312058
10.0,900.0,1.0,3.0,0.6338951218094007,0.5201949595192221
10.0,200.0,1.0,3.0,0.630157672221872,0.5201547368366499
6.0,1000.0,6.0,1.0,0.7759028599468574,0.5196863267379634
6.0,150.0,10.0,2.0,0.6814452745487842,0.5180839322145633
6.0,150.0,10.0,2.0,0.6814452745487842,0.5180839322145632
6.0,150.0,10.0,2.0,0.6814452745487842,0.518083932214563
6.0,200.0,4.0,3.0,0.6818072296498896,0.5172137356700119
6.0,200.0,10.0,2.0,0.6808779976079088,0.5170012677584699
10.0,150.0,1.0,3.0,0.6328790360376456,0.5166631262280863
6.0,100.0,4.0,3.0,0.6779233834615025,0.516594703399139
4.0,700.0,4.0,3.0,0.7656326207053445,0.5164930785446027
10.0,600.0,8.0,3.0,0.6071000290452879,0.5163376697978784
10.0,500.0,8.0,3.0,0.6070245033790138,0.5161768526089696
8.0,300.0,12.0,1.0,0.7608496018046347,0.5160698702176543
4.0,250.0,4.0,3.0,0.7641686412898533,0.5160643434389454
8.0,50.0,12.0,1.0,0.7655588099617101,0.51563613775758
6.0,100.0,10.0,3.0,0.6759940940371756,0.5151743673109277
8.0,250.0,12.0,1.0,0.7611315914512817,0.5150876892817176
8.0,50.0,2.0,3.0,0.6895126450399365,0.5144887261295652
6.0,250.0,10.0,2.0,0.6815205836986538,0.5143753564873424
10.0,400.0,8.0,3.0,0.606209694389706,0.5141742276472725
10.0,400.0,8.0,3.0,0.606209694389706,0.5141742276472723
4.0,700.0,9.0,2.0,0.7277429277564995,0.5138203723341714
8.0,400.0,2.0,3.0,0.6899840600943166,0.513785304635553
8.0,400.0,2.0,3.0,0.6899840600943166,0.5137853046355529
4.0,800.0,9.0,2.0,0.7275521120606396,0.5136345516172423
6.0,400.0,10.0,3.0,0.6770094203124859,0.5136254071774418
4.0,900.0,9.0,2.0,0.7273118289033389,0.5135576202345453
6.0,150.0,4.0,3.0,0.6812015822498216,0.513373011995731
8.0,900.0,2.0,3.0,0.6912493928958203,0.5131455888510452
8.0,900.0,2.0,3.0,0.6912493928958203,0.5131455888510452
6.0,800.0,10.0,3.0,0.6774278816762351,0.5127763871411024
4.0,200.0,9.0,2.0,0.7280255552222605,0.5121036112143376
8.0,700.0,2.0,3.0,0.6907573932178673,0.5116870939843013
8.0,700.0,2.0,3.0,0.6907573932178672,0.511687093984301
8.0,700.0,2.0,3.0,0.6907573932178673,0.511687093984301
8.0,50.0,1.0,3.0,0.6724764689117321,0.5115829737644133
8.0,50.0,1.0,3.0,0.6724764689117322,0.5115829737644133
6.0,400.0,4.0,3.0,0.6832233209381993,0.5108599119821473
6.0,600.0,10.0,3.0,0.6777881263659997,0.5108219812760753
6.0,150.0,9.0,2.0,0.6458092205345931,0.5107151258930338
6.0,700.0,10.0,2.0,0.6807072741810329,0.5107128673968762
6.0,200.0,9.0,2.0,0.6444087408843475,0.5104227298796453
6.0,200.0,9.0,2.0,0.6444087408843475,0.5104227298796452
6.0,800.0,4.0,3.0,0.6839690507107798,0.5099937721902326
6.0,50.0,9.0,2.0,0.6383698522578207,0.5094747953620047
4.0,400.0,9.0,2.0,0.7293152314796023,0.5092572033001546
4.0,400.0,9.0,2.0,0.7293152314796021,0.5092572033001546
10.0,500.0,12.0,1.0,0.7251783237733341,0.5092096901458987
10.0,400.0,12.0,1.0,0.7253766076382048,0.5090700087783988
8.0,250.0,6.0,1.0,0.7290122416974658,0.5088787032249442
6.0,250.0,9.0,2.0,0.6441034593110467,0.5087947122369666
6.0,250.0,9.0,2.0,0.6441034593110466,0.5087947122369666
6.0,600.0,11.0,2.0,0.5942699564401082,0.5085263712936494
4.0,300.0,9.0,2.0,0.7291741954882076,0.5085167473530419
4.0,300.0,9.0,2.0,0.7291741954882076,0.5085167473530416
6.0,250.0,11.0,2.0,0.5954644468114214,0.5085098175403788
10.0,700.0,12.0,1.0,0.7265268119305512,0.5084943771498738
10.0,200.0,12.0,1.0,0.7266789017256683,0.5084856891134113
6.0,800.0,9.0,2.0,0.6420107538575963,0.5081481900987115
6.0,700.0,11.0,2.0,0.5943128488669956,0.5076537047021348
8.0,1000.0,6.0,1.0,0.7290569325894303,0.5073018643785931
8.0,800.0,6.0,1.0,0.7289888791748357,0.5072633166741293
8.0,250.0,10.0,3.0,0.6147616558016127,0.5056057538948624
4.0,400.0,9.0,3.0,0.7249011550860947,0.5029077925129919
6.0,100.0,11.0,2.0,0.5962285697174862,0.5026019059385423
6.0,100.0,11.0,2.0,0.5962285697174861,0.5026019059385423
8.0,300.0,10.0,3.0,0.6153754089353757,0.502187350686903
4.0,700.0,9.0,3.0,0.7252092004557202,0.5021361079876531
4.0,200.0,9.0,3.0,0.7219517846145631,0.5020813213666914
8.0,400.0,10.0,3.0,0.616154624057953,0.5013042403356363
8.0,400.0,10.0,3.0,0.616154624057953,0.5013042403356361
8.0,700.0,10.0,3.0,0.6170172479438027,0.5012644452207573
4.0,600.0,9.0,3.0,0.7257085037844468,0.5012526600896179
8.0,1000.0,10.0,3.0,0.6174480989556026,0.5003801220185266
4.0,100.0,9.0,3.0,0.7240515788396257,0.5002736127954358
10.0,100.0,2.0,3.0,0.6337461597715183,0.4999116005981925
6.0,50.0,1.0,2.0,0.7495341913449443,0.49816523917320366
8.0,150.0,10.0,3.0,0.6133998793547439,0.4980674230431681
8.0,150.0,10.0,3.0,0.6133998793547439,0.498067423043168
8.0,150.0,10.0,3.0,0.6133998793547439,0.498067423043168
8.0,150.0,4.0,3.0,0.623042280059706,0.497729822626639
8.0,150.0,4.0,3.0,0.6230422800597057,0.4977298226266388
4.0,1000.0,5.0,1.0,0.7958832865674863,0.4975308675314285
4.0,1000.0,5.0,1.0,0.7958832865674863,0.4975308675314284
4.0,300.0,5.0,1.0,0.7953872913217916,0.4963128373386647
4.0,300.0,5.0,1.0,0.7953872913217915,0.4963128373386646
10.0,900.0,2.0,3.0,0.6395583723032088,0.4960772797742008
8.0,1000.0,10.0,2.0,0.6233763847053854,0.49599384970558036
8.0,300.0,10.0,2.0,0.6258341888487293,0.49499302542915646
10.0,1000.0,2.0,3.0,0.6399676180433509,0.4941965396057183
10.0,1000.0,2.0,3.0,0.6399676180433509,0.4941965396057182
8.0,800.0,9.0,2.0,0.5787526154685707,0.49330597344615856
4.0,600.0,5.0,1.0,0.7953488815556224,0.4930643887803393
10.0,700.0,6.0,1.0,0.6960793736689732,0.49301204901169127
6.0,150.0,9.0,3.0,0.6289700923732929,0.49243099706834714
8.0,100.0,10.0,3.0,0.6130469792353693,0.4920784449383815
4.0,400.0,5.0,1.0,0.794911904979728,0.49178797801054097
6.0,300.0,9.0,3.0,0.6315828731584344,0.4911206433792218
10.0,600.0,4.0,3.0,0.5828797219094212,0.49085363599835596
10.0,50.0,10.0,2.0,0.5717782163068484,0.4907097259705767
10.0,500.0,4.0,3.0,0.5830341653381546,0.4907014161314599
6.0,800.0,9.0,3.0,0.6343676686134101,0.4906632279871358
10.0,50.0,4.0,3.0,0.5751099426593698,0.49058016368264024
10.0,500.0,6.0,1.0,0.6955788574137356,0.4904725573398887
10.0,300.0,6.0,1.0,0.694705791742823,0.49014229404186094
10.0,100.0,4.0,3.0,0.5775076346912199,0.48899492215621465
10.0,250.0,10.0,3.0,0.5727429643512107,0.4882339613834843
10.0,250.0,6.0,1.0,0.6949408690210142,0.4882308749838986
4.0,800.0,8.0,1.0,0.7653080854923161,0.48813231484575437
4.0,800.0,8.0,1.0,0.765308085492316,0.48813231484575437
8.0,200.0,9.0,2.0,0.5827009418073337,0.48707900795227765
4.0,150.0,1.0,2.0,0.8317326290636631,0.48667562387448093
6.0,200.0,1.0,2.0,0.7576428600777191,0.4866211417005728
4.0,250.0,8.0,1.0,0.7641603332428543,0.48606934099245014
8.0,300.0,9.0,2.0,0.5812891849773026,0.48598268605378403
10.0,100.0,10.0,3.0,0.5717637305890915,0.48536018673237413
10.0,200.0,4.0,3.0,0.5794663438286161,0.48531743517958925
10.0,150.0,9.0,2.0,0.532923208955762,0.4839345794661086
10.0,250.0,4.0,3.0,0.580902897081998,0.48387981314707706
10.0,250.0,4.0,3.0,0.5809028970819982,0.48387981314707684
8.0,200.0,11.0,2.0,0.5396629537953789,0.4834649043812508
4.0,300.0,1.0,2.0,0.831331675762143,0.48339760374087215
8.0,250.0,11.0,2.0,0.5384419930141813,0.48255332422652675
4.0,800.0,1.0,2.0,0.8331087809306919,0.48209265980814753
10.0,700.0,9.0,2.0,0.5324522012497457,0.4805036421523431
4.0,700.0,1.0,2.0,0.8329054721553242,0.47980090042460666
6.0,250.0,1.0,2.0,0.757569111821307,0.4797246932840974
10.0,200.0,10.0,2.0,0.5780040814057055,0.4796429136360505
10.0,250.0,10.0,2.0,0.5766783359923565,0.4790492778603581
6.0,300.0,1.0,2.0,0.7587452859580586,0.47856314466525296
6.0,300.0,8.0,1.0,0.6971489717261246,0.47839988658109556
6.0,50.0,8.0,1.0,0.6931122943624699,0.47679310460968705
4.0,50.0,8.0,1.0,0.762231746260202,0.4760197958045759
6.0,1000.0,8.0,1.0,0.6960910727475456,0.47557622747464756
4.0,800.0,2.0,2.0,0.838900932459816,0.47253860002114256
8.0,900.0,9.0,3.0,0.5737042505727472,0.4712584460307935
8.0,900.0,9.0,3.0,0.5737042505727474,0.4712584460307935
6.0,600.0,1.0,2.0,0.7589536076100806,0.47102334811362234
6.0,800.0,1.0,2.0,0.7587227840292183,0.4707491293093452
8.0,50.0,9.0,3.0,0.5763379577585119,0.47032945463190434
8.0,600.0,9.0,3.0,0.5747621000853202,0.46992070693976573
4.0,400.0,2.0,2.0,0.8396873997554315,0.46974323219085534
8.0,150.0,1.0,2.0,0.6945521848377293,0.46920847080365
8.0,150.0,1.0,2.0,0.6945521848377293,0.46920847080365
6.0,900.0,1.0,2.0,0.7591685212173952,0.4682332101560429
8.0,200.0,1.0,2.0,0.694770581774127,0.466552514040512
