INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.528671855691387,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.4940586760027217,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,2.7,2.72,2.4772793747603226,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8015810522889177,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8015810522889177,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8015810522889177,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8015810522889177,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8015810522889177,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8015810522889177,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.806175075759845,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.806175075759845,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.806175075759845,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.806175075759845,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.806175075759845,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.806175075759845,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8383723348083945,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8212374224976187,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8318746374148134,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8318746374148134,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8325036741099516,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8325036741099516,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8325036741099516,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8325036741099516,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,10.7,2.03,1.8325036741099516,train
