INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2769864336781755,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2769864336781755,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2769864336781755,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2769864336781755,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2769864336781755,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.2769864336781755,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.304701835760564,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,1.9,2.48,2.1821714452523024,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6179713821930726,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6168762915491346,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6168762915491346,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6168762915491346,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6168762915491346,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6168762915491346,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.7004596265751628,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.7022013209939058,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6012112903835274,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6012112903835274,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6650275292086016,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6650275292086016,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6650275292086016,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6650275292086016,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6650275292086016,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6650275292086016,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.7416179055444279,train
RWZYAGGXGHYGMB-UHFFFAOYSA-N,7.0,1.57,1.6740989158977977,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5851218204090276,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5851218204090276,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5851218204090276,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5851218204090276,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.5851218204090276,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6191988742345937,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.6191988742345937,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.639880923087559,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.639880923087559,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.639880923087559,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,1.72614248,1.639880923087559,train
