leaves,trees,state,learn_rate,accuracy_train,accuracy_test,actual_split_size
4.0,100.0,1.0,0.05,0.7269280353819869,0.07156350215693053,0.3169
9.0,600.0,1.0,0.11,0.8620325807634666,0.07061783026994883,0.3169
7.0,250.0,3.0,0.1,0.8347684903988162,0.06959071297981445,0.1385
6.0,200.0,1.0,0.2,0.8491181048959002,0.06560871313313466,0.3169
6.0,250.0,1.0,0.1,0.8237761615488248,0.06499327713958147,0.3169
9.0,80.0,3.0,0.08,0.7482458163286789,0.06270690479492447,0.1385
10.0,600.0,1.0,0.2,0.8711587962808172,0.06263975707603198,0.3169
10.0,250.0,1.0,0.09,0.8213433714825783,0.06182471292198166,0.3169
8.0,200.0,1.0,0.06,0.7748281475346193,0.061241168631843035,0.3169
6.0,100.0,3.0,0.02,0.6683099492930134,0.009974594759161404,0.1385
6.0,80.0,3.0,0.01,0.5006971906575951,0.008948687396326704,0.1385
9.0,60.0,3.0,0.02,0.5905555426345925,-0.013607766370776986,0.1385
5.0,300.0,3.0,0.7,0.8710288098392724,-0.028325738933556943,0.1385
6.0,40.0,1.0,0.6,0.821417437731631,-0.04576901546393031,0.3169
4.0,150.0,1.0,0.8,0.8699144504932982,-0.07189706818463781,0.3169
